"municipality","Independent","Nationalist","Non-Nationalist","Other","Invalid Ballot"
"Odžak",0,0.96580547112462,0.0341945288753799,0,0
"Olovo",0.0280626011872639,0.773610361575823,0.187263896384242,0.0110631408526713,0
"Orašje",0.0971558836300478,0.891988710377768,0.0108554059921841,0,0
"Osmaci",0,0.930226144511859,0.0697738554881412,0,0
"Oštra Luka",0,0.78281027104137,0.145506419400856,0.0716833095577746,0
"Pale",0.00156985871271586,0.979722658294087,0.0143249607535322,0.0043825222396651,0
"Pelagićevo",0,0.804810360777058,0.147779833487512,0.0474098057354302,0
"Petrovac",0,0.662087912087912,0.241758241758242,0.0961538461538462,0
"Petrovo",0.0797028709094559,0.666532824733989,0.19494077494479,0.0588235294117647,0
"Posušje",0,1,0,0,0
"Prijedor",0.00282523699855391,0.809316587220824,0.132250548979701,0.0556076268009212,0
"Prnjavor",0.0111199666021481,0.759535466241603,0.15863979657672,0.0707047705795286,0
"Prozor-Rama",0,0.977486316224311,0.0225136837756894,0,0
"Ribnik",0,0.658662726265238,0.284447728112301,0.0568895456224603,0
"Rogatica",0.00208712044704773,0.914428061671043,0.0671918131017303,0.0162930047801791,0
"Rudo",0.00561527354403979,0.878389218674795,0.0633723728541633,0.0526231349270014,0
"Sanski Most",0,0.85415866308106,0.125480215136381,0.0203611217825586,0
"Skender Vakuf / Kneževo",0.10456326987682,0.648656215005599,0.203667413213886,0.0431131019036954,0
"Sokolac",0,0.924381301558204,0.0756186984417965,0,0
"Srbac",0,0.413663400979706,0.494139258222533,0.0921973407977607,0
"Srebrenica",0.0390593047034765,0.901891615541922,0.0402351738241309,0.0188139059304703,0
"Srebrenik",0,0.574706280371532,0.354431937011749,0.0538229685673864,0.0170388140493326
"Stari Grad Sarajevo",0.0191280006785987,0.697938756467894,0.25901263890067,0.0239206039528374,0
"Stolac",0.00209968961110097,0.993244476903414,0.00109549023187877,0.00356034325360599,0
"Teslić",0.00331377286848464,0.740938902312737,0.225302036589575,0.0304452882292026,0
"Tešanj",0,0.865110504097343,0.134889495902657,0,0
"Tomislavgrad",0,1,0,0,0
"Travnik",0,0.914202881043699,0.0826261589103977,0.00317096004590342,0
"Trebinje",0.0108733777621887,0.763842260860851,0.142406173272536,0.0828781881044245,0
"Trnovo-FBIH",0,0.949685534591195,0,0.050314465408805,0
"Trnovo-RS",0,1,0,0,0
"Tuzla",0.00626819293890744,0.36130506991446,0.614586495705127,0.0149472293158562,0.00289301212564959
"Ugljevik",0,0.818314803978935,0.158377218646382,0.023307977374683,0
"Vareš",0.00499583680266445,0.863922921375045,0.110978946116332,0.0201022957059593,0
"Velika Kladuša",0.0027681660899654,0.978131487889273,0.0124567474048443,0.00664359861591696,0
"Visoko",0,0.725610600674085,0.259245579204949,0.0151438201209659,0
"Vitez",0,0.971095428045413,0.0267566738263271,0.0021478981282602,0
"Višegrad",0,0.989446067616719,0.00441237851052412,0.00614155387275654,0
"Vlasenica",0,0.947429849730098,0.0355979185916452,0.0169722316782571,0
"Vogošća",0,0.756760236930209,0.224568632500644,0.0186711305691476,0
"Vukosavlje",0,0.973578595317726,0,0.0264214046822742,0
"Zavidovići",0,0.817331844822774,0.182668155177226,0,0
"Zenica",0.0624535572951769,0.694316276979971,0.226121969343495,0.0171081963813573,0
"Zvornik",0.0021500705831252,0.85894233901618,0.105766098382018,0.0331414920186774,0
"Čajniče",0,0.990093659942363,0.00990634005763689,0,0
"Čapljina",0,0.966326471775356,0.0321743642968345,0.00149916392780949,0
"Čelinac",0.032130107100357,0.64736215787386,0.291352637842126,0.0291550971836573,0
"Čelić",0,0.853284671532847,0.146715328467153,0,0
"Čitluk",0,1,0,0,0
"Šamac",0,0.809572749963295,0.151299368668331,0.0391278813683747,0
"Šekovići",0.014546965918537,0.711762261014131,0.207605985037406,0.0660847880299252,0
"Šipovo",0,0.437121305799431,0.52157784097935,0.0413008532212192,0
"Široki Brijeg",0,1,0,0,0
"Žepče",0,0.978519261062581,0.0157525418874409,0.00572819704997852,0
"Živinice",0.0157679497449302,0.579746195033517,0.375268771870652,0.0107930351195244,0.0184240482313757
