"municipality","minefield_area","minefield_perc"
"Laktaši",0.00394741579927398,1.02602384304923e-05
"Livno",72.1574478200557,0.0747984605082264
"Ljubinje",23.8739869312584,0.0726170202701691
"Lopare",71.1218614616579,0.234913774665653
"Lukavac",90.442386333102,0.263162894868016
"Maglaj",117.616220432198,0.387880951291621
"Milići",16.7142715870205,0.0661272537597936
"Modriča",51.0021556234211,0.12892256341103
"Mostar",233.520511387762,0.220012685604431
"Mrkonjić Grad",98.3638553132342,0.149765635024798
"Neum",4.01398043902507,0.0189304228296748
"Nevesinje",7.55068607858478,0.00780637833524661
"Novi Grad",24.8209702950309,0.0523294075141492
"Novi Travnik",31.0244840510423,0.126896434355208
"Novo Goražde",48.788288414714,0.299696994284292
"Novo Sarajevo",9.13643677054321,0.935715434051322
"Odžak",18.8615692093172,0.120009900024595
"Olovo",75.6016618869737,0.190594737616067
"Orašje",62.1621661199984,0.52847671354147
"Osmaci",16.0811343085472,0.187308373763372
"Oštra Luka",43.2122064537627,0.1828450559531
"Pale",47.2350562457811,0.0929057819131952
"Pale-Prača",23.169501015311,0.275105993881263
"Pelagićevo",42.0201516578075,0.356212826197629
"Petrovac",3.2235259806945,0.0196967201446963
"Petrovo",62.7490472476871,0.255962897518707
"Posušje",4.9603087998984,0.0109651790751572
"Prijedor",11.4667822772222,0.0142280952055993
"Prnjavor",4.51110194689351,0.0070645018660451
"Prozor-Rama",45.3295207676097,0.0958614742448601
"Ravno",87.0750861513403,0.271405855431539
"Ribnik",39.5804031179665,0.0721911854115118
"Rogatica",56.3002933428891,0.0891631843498188
"Rudo",10.2011366431678,0.0297076858019495
"Sanski Most",136.17804309547,0.190208070796153
"Sapna",32.6441020642617,0.364542350711108
"Sarajevo Centar",13.6962208598813,0.431412985249754
"Sarajevo Novi Grad",23.3832478934166,0.574198612775379
"Sarajevo Stari Grad",14.2403416429923,0.34631715482985
"Skender Vakuf",53.3433076093549,0.16083994483017
"Sokolac",9.75391514262958,0.0136106374626839
"Srbac",28.4215684595194,0.0603414322157293
"Srebrenica",49.7119735879555,0.0962732194606309
"Srebrenik",10.3708233210325,0.0408542417017948
"Stolac",35.8485092524837,0.15963129055128
"Teočak",12.3447163614441,0.384318130435931
"Teslić",95.2060322652483,0.113235861480025
"Tešanj",24.2323806336813,0.188041820381398
"Tomislavgrad",41.159850232957,0.0415950195109424
"Travnik",188.658805089791,0.329620851893898
"Trebinje",81.6778127988705,0.0939046122865223
"Trnovo-FBIH",63.6836396790683,0.199274831670186
"Trnovo-RS",47.8964436034685,0.404699937696273
"Tuzla",40.7630893935942,0.142516152234478
"Ugljevik",21.5939783151053,0.122322089840448
"Usora",10.8737963799858,0.175675905217579
"Vareš",32.5771660930959,0.0864012313251097
"Velika Kladuša",108.209688512607,0.303304746478939
"Visoko",76.1866946716098,0.315963173044036
"Vitez",76.1975324761523,0.490046838602994
"Višegrad",10.7579760564415,0.0229833063370947
"Vlasenica",13.3680673546633,0.0595348065106426
"Vogošća",26.23238372302,0.378747879379601
"Vukosavlje",5.05227437463118,0.0805996884414212
"Zavidovići",107.973218236485,0.181145998463016
"Zenica",48.7383069656426,0.0855009191941447
"Zvornik",80.7504071865749,0.196518439407914
"Čajniče",46.8731008620756,0.163039427938864
"Čapljina",17.1304092437137,0.0689283924767822
"Čelinac",0.416206739038533,0.00113802681114138
"Čelić",28.2823639695219,0.215468518105928
"Čitluk",2.0409035582318,0.0110621680805394
"Šamac",39.3860528815694,0.21563735623296
"Šekovići",34.2238476754589,0.138806855092912
"Šipovo",42.7296438087222,0.0797983437857113
"Široki Brijeg",1.50327974817449,0.00374991584204291
"Žepče",50.4608298839244,0.260057896227158
"Živinice",21.977270499198,0.0765624950480599
"Bileća",0,0
"Grude",0,0
"Ljubuški",0,0
