"municipality","population","bosniak","croat","serb","not declared","other","no answer","total","percent_bosniaks","percent_serbs","percent_croats","percent_not_declared","percent_other","percent_no_answer","fractionalization","polarization","percent_total_population"
"Breza",14168,13154,314,121,118,447,14,14168,0.928430265386787,0.00854037267080745,0.0221626199887069,0.00832862789384529,0.0315499717673631,0.000988142292490119,0.136387379437394,0.253112990962012,0.00398524603859287
"Brod",16619,1059,3287,11477,148,161,37,16169,0.065495701651308,0.709815078236131,0.203290246768508,0.0091533180778032,0.00995732574679943,0.0022883295194508,0.450357775322787,0.73330690471357,0.00454809734599153
"Brčko",83516,35381,17252,28884,522,1377,100,83516,0.423643373724795,0.34584989702572,0.206571195938503,0.00625029934383831,0.0164878586139183,0.00119737535322573,0.657930132203613,0.863398826648666,0.0234917989948561
"Bugojno",31470,24650,5767,376,153,493,31,31470,0.783285668891007,0.0119478868763902,0.183253892596123,0.00486177311725453,0.0156657133778201,0.000985065141404512,0.352468797990712,0.643188822570103,0.0088520393022669
"Busovača",17910,8681,8873,205,27,111,13,17910,0.484701284198772,0.0114461194863205,0.495421552205472,0.00150753768844221,0.00619765494137353,0.000725851479620324,0.519449926598063,0.980309447800185,0.00503781455047983
"Bužim",19340,19207,8,1,6,96,22,19340,0.993123061013444,5.17063081695967e-05,0.000413650465356774,0.00031023784901758,0.00496380558428128,0.00113753877973113,0.0136803822951614,0.0272350365738322,0.00544005211648687
"Cazin",66149,63463,320,29,331,1945,61,66149,0.959394699844291,0.000438404208680403,0.00483756368199066,0.00500385493355909,0.0294033167545995,0.000922160576879469,0.0786477717095585,0.153052188129338,0.0186067222054545
"Derventa",27404,1895,2573,22349,252,277,58,27404,0.069150488979711,0.81553787768209,0.0938914027149321,0.00919573784848927,0.0101080134286965,0.00211647934608086,0.321109371421006,0.541258156196294,0.00770833444675317
"Doboj",71441,15322,1845,52628,490,992,164,71441,0.214470682101314,0.736663820495234,0.025825506361893,0.00685880656765723,0.0138855839083999,0.0022956005655016,0.410416662863549,0.719719808873713,0.0200952824846918
"Doboj Istok",10248,9830,18,12,18,96,274,10248,0.959211553473849,0.00117096018735363,0.00175644028103044,0.00175644028103044,0.00936768149882904,0.0267369242779079,0.0791030377930981,0.153276486303585,0.00288260879471342
"Doboj Jug",4137,4017,24,9,14,67,6,4137,0.970993473531545,0.00217548948513416,0.00580130529369108,0.00338409475465313,0.0161953106115543,0.00145032632342277,0.0568574428319772,0.110631644510304,0.00116367609130849
"Dobretići",1629,0,1626,1,1,0,1,1629,0,0.000613873542050338,0.998158379373849,0.000613873542050338,0,0.000613873542050338,0.00367871916359452,0.00734389426899129,0.000458213283234598
"Domaljevac-Šamac",4771,17,4634,92,12,13,3,4771,0.00356319429888912,0.0192831691469294,0.971284845944246,0.00251519597568644,0.00272479564032698,0.00062879899392161,0.0562070649628482,0.109924569844119,0.00134201078840532
"Donji Vakuf",13985,13376,58,107,46,386,12,13985,0.956453342867358,0.00765105470146586,0.00414730067929925,0.00328923846978906,0.0276010010725778,0.00085806220951019,0.0843478935562122,0.162656558084109,0.00393377088154441
"Donji Žabar",3809,5,1029,2758,5,9,2,3808,0.00131302521008403,0.724264705882353,0.270220588235294,0.00131302521008403,0.00236344537815126,0.000525210084033613,0.402412159716828,0.79174682686656,0.00107113332262575
"Drvar",7036,11,552,6420,26,24,3,7036,0.00156338828880045,0.912450255827175,0.0784536668561683,0.00369528140989198,0.00341102899374645,0.000426378624218306,0.161251636592578,0.314363253082965,0.00197912133875913
"Dubica",21524,2168,273,18670,171,228,14,21524,0.100724772347147,0.867403828284705,0.012683516075079,0.00794461995911541,0.0105928266121539,0.000650436721798922,0.237128499302767,0.436881687026751,0.006054378580934
"Fojnica",12356,7592,3664,48,46,236,770,12356,0.614438329556491,0.00388475234703788,0.296536095823891,0.0037228876659113,0.0191000323729362,0.0623179022337326,0.530254599676522,0.845796651094134,0.00347555759830981
"Foča",18288,1270,55,16739,32,176,16,18288,0.0694444444444444,0.915299650043745,0.0030074365704287,0.00174978127734033,0.00962379702537183,0.000874890638670166,0.157298530453542,0.302207607940979,0.00514414028471106
"Foča-Ustikolina",1993,1762,0,145,3,23,0,1933,0.911536471805484,0.0750129332643559,0,0.00155199172271081,0.0118986032074496,0,0.163330334974892,0.31540551226248,0.000543723926637494
"Gacko",8990,369,15,8556,3,41,6,8990,0.0410456062291435,0.951724137931034,0.00166852057842047,0.000333704115684093,0.00456062291434928,0.000667408231368187,0.0925122834542398,0.181467539319145,0.0025287522506317
"Glamoč",3860,1251,906,1679,11,13,0,3860,0.324093264248705,0.434974093264249,0.234715025906736,0.00284974093264249,0.00336787564766839,0,0.650650487261403,0.880315835999075,0.00108576014320783
"Goražde",20897,19692,23,707,73,393,9,20897,0.942336220510121,0.0338326075513232,0.00110063645499354,0.00349332440063167,0.0188065272527157,0.000430683830214863,0.110490516509136,0.2106872163382,0.00587801287891552
"Gornji Vakuf-Uskoplje",20933,12004,8660,30,28,170,41,20933,0.573448621793341,0.00143314383987006,0.413700855109158,0.00133760091721206,0.00812114842593035,0.00195862991448908,0.499934648284892,0.962743260612482,0.0058881391393185
"Gradačac",39340,37130,918,345,167,727,53,39340,0.943823080833757,0.00876970005083884,0.0233350279613625,0.00424504321301474,0.0184799186578546,0.00134722928317234,0.108215218104313,0.204022061890905,0.0110657523403616
"Gradiška",51727,7580,826,41863,416,999,43,51727,0.14653855819978,0.809306551704139,0.0159684497457807,0.00804222166373461,0.0193129313511319,0.000831287335434106,0.322856007256906,0.575632959472538,0.0145500297740184
"Gračanica",45220,43857,72,157,137,924,73,45220,0.969858469703671,0.0034719150818222,0.0015922158337019,0.0030296329057939,0.0204334365325077,0.00161432994250332,0.0589306493332219,0.115148722269411,0.0127197082061808
"Grude",17308,3,17216,10,3,11,65,17308,0.000173330251906633,0.000577767506355443,0.99468453894153,0.000173330251906633,0.000635544256990987,0.00375548879131038,0.0105877664760679,0.0210958043119842,0.0048684809737412
"Hadžići",23891,22120,179,218,117,900,357,23891,0.925871667154996,0.00912477501988196,0.00749236114017831,0.00489724163911096,0.0376710895316228,0.0149428655142104,0.140955875773064,0.261173342651277,0.00672018020242957
"Han Pijesak",3530,431,7,3068,3,21,0,3530,0.122096317280453,0.869121813031161,0.00198300283286119,0.00084985835694051,0.00594900849858357,0,0.2296797181584,0.447955990792457,0.000992936089513892
