"municipality","population","bosniak","croat","serb","not declared","other","no answer","total","percent_bosniaks","percent_serbs","percent_croats","percent_not_declared","percent_other","percent_no_answer","fractionalization","polarization","percent_total_population"
"Čapljina",26157,4541,20538,714,124,222,18,26157,0.173605535803036,0.0272967083381122,0.785181786902168,0.00474060480942004,0.00848721183621975,0.000688152311044845,0.352510589517249,0.632653234814299,0.00735757203779458
"Čelinac",15548,453,49,14874,39,124,9,15548,0.0291355801389246,0.956650373038333,0.00315153074350399,0.00250836120401338,0.00797530228968356,0.000578852585541549,0.083891017196702,0.162305872746733,0.00437341935404022
"Čelić",10502,9341,843,192,36,80,10,10502,0.889449628642163,0.0182822319558179,0.0802704246810131,0.00342791849171586,0.00761759664825747,0.000952199581032184,0.202031091936638,0.375132573471498,0.00295405518755663
"Čitluk",18140,29,17900,18,21,86,86,18140,0.0015986769570011,0.000992282249173098,0.986769570011025,0.00115766262403528,0.00474090407938258,0.00474090407938258,0.0262359827824504,0.0517290821334276,0.00510251010305439
"Šamac",17273,1265,2426,13256,151,152,23,17273,0.0732356857523302,0.767440514097146,0.140450413940833,0.00874196723209633,0.00879986105482545,0.00133155792276964,0.38578964028637,0.636200330867493,0.00485863599834942
"Šekovići",6761,107,8,6618,6,14,8,6761,0.0158260612335453,0.978849282650496,0.0011832569146576,0.000887442685993196,0.00207069960065079,0.0011832569146576,0.0415957420952331,0.0820793460026562,0.00190176796068086
"Šipovo",10293,628,26,9576,24,34,5,10293,0.0610123384824638,0.930341008452346,0.00252598853589818,0.00233168172544448,0.00330321577771301,0.000485767026134266,0.130720137982943,0.255242156771131,0.00289526662021714
"Široki Brijeg",28929,6,28814,45,8,23,33,28929,0.000207404334750596,0.00155553251062947,0.996024750250614,0.000276539113000795,0.000795049949877286,0.00114072384112828,0.00793022436106772,0.01579269637528,0.00813729408882362
"Žepče",30219,11727,501,501,55,111,24,12919,0.907732796656088,0.0387800913383389,0.0387800913383389,0.00425729545630467,0.00859199628454215,0.00185772892638749,0.172917980784978,0.316048204387837,0.00363392105961189
"Živinice",57765,53089,2508,242,172,1716,38,57765,0.919051328659223,0.00418938803773912,0.0434172942092963,0.00297758158054185,0.0297065697221501,0.000657837791049944,0.152550263853845,0.284239837560941,0.0162484286716062
