"id","relid","year","type_of_violence","conflict_dset_id","conflict_new_id","conflict_name","dyad_dset_id","dyad_new_id","dyad_name","side_a_dset_id","side_a_new_id","side_a","side_b_dset_id","side_b_new_id","side_b","where_prec","where_coordinates","where_description","latitude","longitude","event_clarity","date_prec","date_start","date_end","deaths_a","deaths_b","deaths_civilians","deaths_unknown","best","high","low","geometry","event_length"
368496,"BOS-1992-1-835-8",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Foca town","Foca",43.505,18.778611,1,1,1992-04-29,1992-04-29,1,0,5,0,6,6,6,c(18.778611, 43.505),1
368497,"BOS-1992-1-835-9",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Foca town","Foca",43.505,18.778611,1,1,1992-04-30,1992-04-30,0,0,7,0,7,7,7,c(18.778611, 43.505),1
368808,"BOS-1992-1-835-40",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Tuzla town","Tuzla",44.542778,18.669444,1,1,1992-04-30,1992-04-30,1,0,0,0,1,1,1,c(18.669444, 44.542778),1
368818,"BOS-1992-1-835-43",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Bihac town","Bihac",44.816944,15.870833,1,1,1992-04-30,1992-04-30,3,0,0,0,3,3,3,c(15.870833, 44.816944),1
199356,"BOS-1992-1-292-8",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Mostar town","Mostar town",43.343333,17.808056,1,1,1992-04-30,1992-04-30,1,2,5,0,8,8,8,c(17.808056, 43.343333),1
369457,"BOS-1992-1-835-91",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Prijedor town","Prijedor",44.981389,16.713056,1,1,1992-04-30,1992-04-30,0,3,4,0,7,7,7,c(16.713056, 44.981389),1
389706,"BOS-1992-1-835-1541",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Srebrenica town","Srebrenica",44.106389,19.296944,1,1,1992-04-30,1992-04-30,1,0,0,0,1,1,1,c(19.296944, 44.106389),1
393431,"BOS-1992-1-835-1925",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Rogatica town","Rogatica",43.800833,19.0025,1,1,1992-04-30,1992-04-30,1,0,0,0,1,1,1,c(19.0025, 43.800833),1
400185,"BOS-1992-1-835-2264",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Nevesinje town","Nevesinjie",43.2575,18.1124,1,1,1992-04-30,1992-04-30,0,1,0,0,1,1,1,c(18.1124, 43.2575),1
400184,"BOS-1992-1-835-2263",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Capljina town","Capljina",43.111827,17.705484,1,1,1992-04-30,1992-04-30,0,1,0,0,1,1,1,c(17.705484, 43.111827),1
368053,"BOS-1992-1-835-3",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Zvornik town","Zvornik",44.386944,19.101389,1,1,1992-04-30,1992-04-30,1,0,8,0,9,9,9,c(19.101389, 44.386944),1
368408,"BOS-1992-1-835-6",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Visegrad town","Visegrad",43.7834,19.2935,1,1,1992-04-30,1992-04-30,1,0,0,0,1,1,1,c(19.2935, 43.7834),1
371378,"BOS-1992-1-835-263",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Brcko town","Brcko",44.872778,18.808333,1,1,1992-04-30,1992-04-30,0,0,4,0,4,4,4,c(18.808333, 44.872778),1
200210,"BOS-1992-1-292-7",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Mostar town","Mostar town",43.343333,17.808056,1,1,1992-04-30,1992-04-30,0,0,0,3,3,3,3,c(17.808056, 43.343333),1
200452,"BOS-1992-1-292-9",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Sarajevo city","Sarajevo city",43.85,18.383333,1,1,1992-04-30,1992-04-30,0,0,0,2,2,2,2,c(18.383333, 43.85),1
200858,"BOS-1992-1-292-12",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Zenica town","Zenica town",44.201389,17.906389,1,1,1992-05-01,1992-05-01,0,2,0,0,2,2,2,c(17.906389, 44.201389),1
199908,"BOS-1992-1-292-14",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Capljina town","Capljina, south-western Bosnia",43.111827,17.705484,1,1,1992-05-01,1992-05-01,2,0,0,0,2,2,2,c(17.705484, 43.111827),1
200369,"BOS-1992-1-292-13",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Sarajevo city","Sarajevo city",43.85,18.383333,1,1,1992-05-02,1992-05-02,0,6,0,7,13,13,13,c(18.383333, 43.85),1
371486,"BOS-1992-1-835-264",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Brcko town","Brcko",44.872778,18.808333,1,1,1992-05-02,1992-05-02,3,0,9,0,12,12,12,c(18.808333, 44.872778),1
386011,"BOS-1992-1-835-1146",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Kalesija town","Kalesija",44.437222,18.908056,1,1,1992-05-02,1992-05-02,0,1,1,0,2,2,2,c(18.908056, 44.437222),1
386013,"BOS-1992-1-835-1147",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Zvornik town","Zvornik",44.386944,19.101389,1,1,1992-05-02,1992-05-02,1,0,2,0,3,3,3,c(19.101389, 44.386944),1
393432,"BOS-1992-1-835-1926",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Rogatica town","Rogatica",43.800833,19.0025,1,1,1992-05-02,1992-05-02,1,0,0,0,1,1,1,c(19.0025, 43.800833),1
389707,"BOS-1992-1-835-1542",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Srebrenica town","Srebrenica",44.106389,19.296944,1,1,1992-05-02,1992-05-02,0,0,3,0,3,3,3,c(19.296944, 44.106389),1
382873,"BOS-1992-1-835-829",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Bosanska Krupa town","Bosanska Krupa",44.8825,16.151389,1,1,1992-05-02,1992-05-02,0,1,0,0,1,1,1,c(16.151389, 44.8825),1
382876,"BOS-1992-1-835-830",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Bosanski Novi town","Bosanski Novi",45.045833,16.380278,1,1,1992-05-02,1992-05-02,0,1,0,0,1,1,1,c(16.380278, 45.045833),1
369466,"BOS-1992-1-835-93",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Prijedor town","Prijedor",44.981389,16.713056,1,1,1992-05-02,1992-05-02,0,0,3,0,3,3,3,c(16.713056, 44.981389),1
370258,"BOS-1992-1-835-256",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Derventa town","Derventa",44.976418,17.907041,1,1,1992-05-02,1992-05-02,1,0,0,0,1,1,1,c(17.907041, 44.976418),1
368819,"BOS-1992-1-835-42",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Bihac town","Bihac",44.816944,15.870833,1,1,1992-05-02,1992-05-02,0,0,1,0,1,1,1,c(15.870833, 44.816944),1
368735,"BOS-1992-1-835-18",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Tuzla town","Tuzla",44.542778,18.669444,1,1,1992-05-02,1992-05-02,0,1,0,0,1,1,1,c(18.669444, 44.542778),1
368744,"BOS-1992-1-835-19",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Tuzla town","Tuzla",44.542778,18.669444,1,1,1992-05-03,1992-05-03,0,0,1,0,1,1,1,c(18.669444, 44.542778),1
368820,"BOS-1992-1-835-44",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Bihac town","Bihac",44.816944,15.870833,1,1,1992-05-03,1992-05-03,1,0,0,0,1,1,1,c(15.870833, 44.816944),1
389708,"BOS-1992-1-835-1543",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Srebrenica town","Srebrenica",44.106389,19.296944,1,1,1992-05-03,1992-05-03,2,0,2,0,4,4,4,c(19.296944, 44.106389),1
386014,"BOS-1992-1-835-1148",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Zvornik town","Zvornik",44.386944,19.101389,1,1,1992-05-03,1992-05-03,1,0,1,0,2,2,2,c(19.101389, 44.386944),1
386016,"BOS-1992-1-835-1149",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Kalesija town","Kalesija town",44.437222,18.908056,1,1,1992-05-03,1992-05-03,2,0,0,0,2,2,2,c(18.908056, 44.437222),1
371488,"BOS-1992-1-835-265",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Brcko town","Brcko",44.872778,18.808333,1,1,1992-05-03,1992-05-03,2,1,12,0,15,15,15,c(18.808333, 44.872778),1
371489,"BOS-1992-1-835-266",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Doboj town","Doboj",44.734722,18.087778,1,1,1992-05-03,1992-05-03,1,1,0,0,2,2,2,c(18.087778, 44.734722),1
200228,"BOS-1992-1-292-26",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Mostar town","Mostar town",43.343333,17.808056,1,1,1992-05-03,1992-05-03,0,0,0,1,1,1,1,c(17.808056, 43.343333),1
200403,"BOS-1992-1-292-25",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Sarajevo city","Sarajevo city",43.85,18.383333,1,1,1992-05-03,1992-05-03,1,11,1,0,13,13,4,c(18.383333, 43.85),1
199920,"BOS-1992-1-292-24",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Mostar town","Mostar town",43.343333,17.808056,1,1,1992-05-03,1992-05-03,0,0,0,1,1,1,1,c(17.808056, 43.343333),1
199897,"BOS-1992-1-292-29",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Cazin town","Cazin town",44.966944,15.943056,2,2,1992-05-04,1992-05-07,0,0,0,0,0,12,0,c(15.943056, 44.966944),4
200408,"BOS-1992-1-292-27",1992,1,389,389,"Bosnia-Herzegovina: Serb",835,835,"Government of Bosnia-Herzegovina - Serbian Republic of Bosnia-Herzegovina",50,50,"Government of Bosnia-Herzegovina",339,339,"Serbian Republic of Bosnia-Herzegovina",1,"Sarajevo city","Sarajevo city",43.85,18.383333,1,1,1992-05-04,1992-05-04,0,1,0,3,4,25,3,c(18.383333, 43.85),1
