"municipality","dist_hrv","dist_srb","dist_mne","dist_yug","dist_other_country","dist_internal_border"
"Gradiška",0,122.00767990844,203.256776136079,122.00767990844,0,27.7486548917138
"Gračanica",29.2348462132338,45.6864247244382,125.50861777117,45.6864247244382,29.2348462132338,0
"Grude",0,136.432894196915,88.1806318803606,88.1806318803606,0,34.635053908466
"Hadžići",64.8940256923746,77.2361197254051,58.6086790789589,58.6086790789587,58.6086790789587,5.76581785246829
"Han Pijesak",77.8949678332312,6.80561426338645,44.9082696641797,6.80561426338645,6.80561426338645,0
"Ilidža",81.5201082928011,68.606278948421,50.2808452546121,50.280845254612,50.280845254612,0
"Ilijaš",89.4002173675686,49.9001864344105,57.6031559854224,49.9001864344105,49.9001864344105,0
"Istočna Ilidža",88.9667342790707,67.926342387579,50.1422592290688,50.1422592290686,50.1422592290686,0
"Istočni Drvar",26.9085095834342,190.365457332822,200.27900679302,190.365457332822,26.9085095834342,0
"Istočni Mostar",38.8967598624457,91.2507400479728,54.6263531926894,54.6263531926894,38.8967598624457,0
"Istočni Stari Grad",98.0893025637297,53.8161177669042,47.613245901789,47.6132459017889,47.6132459017889,0
"Istočno Novo Sarajevo",93.9690586599335,62.585057458364,45.3743919321751,45.3743919321749,45.3743919321749,0
"Jablanica",25.8257239613977,105.577172710435,74.3265339650294,74.3265339650292,25.8257239613977,13.7948745979704
"Jajce",58.1668067318667,132.582271553954,145.337805961515,132.582271553954,58.1668067318667,0
"Jezero",58.6786067193354,148.695064985847,157.838264982746,148.695064985847,58.6786067193354,0
"Kakanj",81.3413975831346,66.159257310874,82.4740173922993,66.159257310874,66.159257310874,22.0797100602515
"Kalesija",36.2576497599875,12.3010475861535,90.6511857309183,12.3010475861532,12.3010475861532,0
"Kalinovik",53.1866002321536,48.4800663335164,13.6124479192209,13.6124479192207,13.6124479192207,0
"Kiseljak",73.0021937054883,85.0006890603595,71.0374844705854,71.0374844705852,71.0374844705852,13.8429309777515
"Kladanj",54.8341792828015,21.9638344253008,69.2300740510807,21.9638344253008,21.9638344253008,0
"Ključ",34.4918516149609,169.543422124994,198.736833631248,169.543422124994,34.4918516149609,0
"Konjic",45.0750946557748,65.2001018202095,37.9686270732162,37.9686270732161,37.9686270732161,0
"Kostajnica",0,180.293304646923,257.715580704759,180.293304646923,0,22.806146048992
"Kotor Varoš",47.9499996859255,110.517914399981,137.149716510811,110.517914399981,47.9499996859255,0
"Kreševo",61.6671413783166,89.4904661340618,75.3067814690758,75.3067814690756,61.6671413783166,19.1141445717098
"Krupa na Uni",3.97789552624418,204.650076131842,250.304489010522,204.650076131842,3.97789552624418,0
"Kupres-FBIH",22.1290498835194,142.323828827343,120.624427409249,120.624427409249,22.1290498835194,0
"Kupres-RS",36.1724388473014,151.350064841391,146.632574770563,146.632574770563,36.1724388473014,0
"Laktaši",14.374517744566,119.768657927426,183.791917134863,119.768657927426,14.374517744566,34.2650564701016
"Livno",0,165.387425158457,136.563543391384,136.563543391384,0,19.1574368058881
"Ljubinje",9.36736133130582,94.8843216555137,18.1302450737139,18.1302450737139,9.36736133130582,0
"Ljubuški",0,127.147047020346,70.8343253190558,70.8343253190558,0,19.2703713692117
"Lopare",9.76315217084088,14.9581787738557,107.900768038006,14.9581787738557,9.76315217084088,0
"Lukavac",36.3588356583669,43.1737693061782,105.008761135958,43.1737693061782,36.3588356583669,0
"Maglaj",50.8229433526956,64.1563859653352,118.731012210795,64.1563859653352,50.8229433526956,0
"Milići",62.5833862558332,4.59327051903409,50.791259898315,4.59327051903409,4.59327051903409,15.680912238767
"Modriča",8.4577728045085,41.6431640512834,146.301960910319,41.6431640512834,8.4577728045085,0
"Mostar",14.2690650676812,93.8228582729816,50.2582683439434,50.2582683439434,14.2690650676812,0
"Mrkonjić Grad",35.7342562188757,144.757970649926,168.9467558953,144.757970649926,35.7342562188757,0
"Neum",0,114.878783340575,43.662991154613,43.662991154613,0,0
"Nevesinje",27.3160157226324,70.0991782872417,14.6906908703892,14.6906908703892,14.6906908703892,0
"Novi Grad",0,185.705869408343,247.518816827737,185.705869408343,0,0
"Novi Travnik",63.1584379547455,111.007355899154,106.529280922825,106.529280922825,63.1584379547455,16.6610965685538
"Novo Goražde",111.732014419219,10.8862473595004,0.677538574020748,0.677538574020434,0.677538574020434,0
"Novo Sarajevo",94.3016137425466,67.6871848387603,55.0795984336264,55.0795984336262,55.0795984336262,0
"Odžak",0,45.710802863831,169.447052952085,45.710802863831,0,0
"Olovo",67.0014902398793,29.1640605459556,62.6572486605994,29.1640605459555,29.1640605459555,0
"Orašje",0,17.3289605706675,155.623568795458,17.3289605706675,0,0
"Osmaci",48.2517456007724,5.59335539044305,86.3408652753159,5.59335539044305,5.59335539044305,0
"Oštra Luka",14.0019170886115,165.23532721204,202.71514702074,165.23532721204,14.0019170886115,0
"Pale",98.841921911477,35.3946872775304,23.723612933166,23.723612933165,23.723612933165,0
"Pale-Prača",105.071503661273,27.9317131719004,17.491628051802,17.4916280518009,17.4916280518009,0
"Pelagićevo",8.41707702922025,26.6659513295915,145.209928890612,26.6659513295915,8.41707702922025,0
"Petrovac",22.5600114469772,188.947581069848,209.845643423694,188.947581069848,22.5600114469772,0
"Petrovo",42.6265183892481,54.9118476581293,123.078745433022,54.9118476581293,42.6265183892481,0
"Posušje",0,128.099471778885,95.7480380818012,95.748038081801,0,33.575788988949
"Prijedor",12.0480504393989,154.105289884699,212.04485052071,154.105289884699,12.0480504393989,2.64323416253373
"Prnjavor",4.46521437906885,93.5103380584326,162.61398324013,93.5103380584326,4.46521437906885,14.537671318687
"Prozor-Rama",26.2515056321389,115.51353528438,89.5332947993585,89.5332947993584,26.2515056321389,26.3454210182247
"Ravno",0,114.628208057285,14.4403741604061,14.4403741604061,0,0
"Ribnik",34.8574099101611,162.73511934911,187.808081199899,162.73511934911,34.8574099101611,0
"Rogatica",95.6036489495198,3.98175037280259,14.5423362213802,3.98175037280259,3.98175037280259,0
"Rudo",128.245932263505,0,9.08958743341248,0,0,9.94818345851262
"Sanski Most",17.7209983307111,171.123232857826,207.486610514867,171.123232857826,17.7209983307111,0
"Sapna",31.1574045642882,7.1930435683104,98.6137956657155,7.1930435683104,7.1930435683104,0
"Sarajevo Centar",97.8152166537519,62.0952193396157,53.945007466199,53.9450074661988,53.9450074661988,0
"Sarajevo Novi Grad",88.5529891941859,70.2202753925215,56.6307323557078,56.6307323557076,56.6307323557076,0
"Sarajevo Stari Grad",99.1993789714105,57.4952056921547,51.9289271297189,51.9289271297187,51.9289271297187,0.49429995232223
"Skender Vakuf",54.1882398032625,118.413969774043,140.292982073942,118.413969774043,54.1882398032625,0
"Sokolac",83.4554677171153,16.5488970340883,31.1873153165899,16.5488970340883,16.5488970340883,0
"Srbac",0,95.2222182154922,189.111569846482,95.2222182154922,0,30.5044206461208
"Srebrenica",79.463208702249,0,43.9551217404471,0,0,27.768619784508
"Srebrenik",22.5573036470807,33.9189624500756,119.09217535818,33.9189624500756,22.5573036470807,0
"Stolac",5.10262554735707,104.625688791545,41.9823766063724,41.9823766063724,5.10262554735707,0
"Teočak",27.1981853768923,8.92779298992192,110.234997873891,8.92779298992192,8.92779298992192,0
"Teslić",35.1447744518662,88.3687856888073,130.132193505817,88.3687856888073,35.1447744518662,0
"Tešanj",41.6115486891161,77.1075743418768,133.797849540519,77.1075743418768,41.6115486891161,0
"Tomislavgrad",0,132.494911421628,102.391936214257,102.391936214257,0,19.2943542579618
"Travnik",69.2219012671984,101.584769955129,118.177875650227,101.584769955129,69.2219012671984,0
"Trebinje",0,94.0126108457326,0,0,0,0
"Trnovo-FBIH",72.6959797812208,47.1029593710532,29.0077350039888,29.0077350039886,29.0077350039886,0
"Trnovo-RS",80.0062258217089,53.8469288021567,36.1037909058536,36.1037909058536,36.1037909058536,0
"Tuzla",29.7066632531698,20.9888464876804,104.813280333874,20.9888464876804,20.9888464876804,0
"Ugljevik",11.6222717076556,7.02699683764585,112.221317530567,7.02699683764613,7.02699683764613,0
"Usora",38.5421368917682,78.405627869476,143.597829693473,78.405627869476,38.5421368917682,0
"Vareš",76.3148933820688,51.2588068072434,70.12107049374,51.2588068072432,51.2588068072432,10.7293625742612
"Velika Kladuša",0,221.425871939868,282.596871461535,221.425871939868,0,12.4272553610148
"Visoko",82.4140048122072,73.6166523829002,69.2356011617429,69.2356011617427,69.2356011617427,12.4457334554473
"Vitez",71.9422299277487,100.419420006828,107.676024033888,100.419420006828,71.9422299277487,19.3912372541897
"Višegrad",103.359012894257,0,16.1162211390938,0,0,13.0138307051348
"Vlasenica",63.9010985727917,8.41093361852642,60.3576437385518,8.41093361852629,8.41093361852629,0
"Vogošća",93.2596821618259,62.5495098171106,57.9516793096451,57.9516793096449,57.9516793096449,2.95060906613344
"Vukosavlje",5.94516337392961,47.8703781568205,167.026220592866,47.8703781568205,5.94516337392961,0
"Zavidovići",58.2125932891465,49.2834198693867,93.121956961837,49.2834198693867,49.2834198693867,7.3192323180764
"Zenica",68.2983752681605,80.5789324738801,98.2460669281755,80.5789324738801,68.2983752681605,0
"Zvornik",30.3117604542341,0,76.2766918574707,0,0,0
"Čajniče",109.29195578957,0,0,0,0,3.73745748859361
"Čapljina",0,110.986300798558,52.7266890228289,52.7266890228289,0,2.19687736652316
"Čelinac",32.910241731178,109.937779014608,166.544234735596,109.937779014608,32.910241731178,20.8903495341402
"Čelić",13.3781635565159,22.2389782825207,115.752131008919,22.2389782825208,13.3781635565159,0
"Čitluk",6.8310388920632,115.018761721925,60.7286386515921,60.7286386515921,6.8310388920632,7.99798693994135
"Šamac",0.525341982096388,29.0575869205568,155.228685958279,29.0575869205568,0.525341982096388,0
"Šekovići",54.8570807984665,8.41921310647052,72.63774565408,8.41921310647052,8.41921310647052,0
"Šipovo",36.1104425616577,146.310245580691,147.024475748227,146.310245580691,36.1104425616577,0
"Široki Brijeg",8.64442583840265,117.452724217881,71.7318953844453,71.7318953844453,8.64442583840265,18.1117916690568
"Žepče",65.9471236581376,77.4207493508695,111.537074027738,77.4207493508695,65.9471236581376,0
"Živinice",41.3634098278584,21.8033989885834,88.3703387661875,21.8033989885834,21.8033989885834,0.759213529053244
