"","municipality","total","muslims","serbs","croats","yugoslavs","other","percent_muslims","percent_serbs","percent_croats","percent_yugoslavs","percent_other","fractionalization","polarization","percent_total_population"
"21","Derventa",56489,7086,21938,22952,3348,1165,0.125440351218821,0.388358795517711,0.406309192940218,0.0592681761050824,0.0206234842181664,0.66441695916228,0.830970164921795,0.0129057742996226
"22","Doboj",102549,41164,39820,13264,5765,2536,0.401408107343806,0.388302177495636,0.129343045763489,0.0562170279573667,0.024729641439702,0.667591417425339,0.827304031516056,0.0234288843607074
"23","Donji Vakuf",24544,13509,9533,682,593,227,0.550399282920469,0.388404498044329,0.0277868318122555,0.0241606910039113,0.0092486962190352,0.544761189865865,0.91948360758064,0.00560745144027929
"24","Drvar",17126,33,16608,33,384,68,0.00192689477986687,0.969753591031181,0.00192689477986687,0.0224220483475417,0.00397057106154385,0.0590520331484901,0.115835916891852,0.00391269611172683
"25","Bosanska Dubica",31606,6440,21728,488,1851,1099,0.203758779978485,0.687464405492628,0.0154401063089287,0.0585648294627602,0.034771878757198,0.480997731077208,0.741581566575809,0.00722087313483814
"26","Foča",40513,20790,18315,94,463,851,0.513168612544122,0.452077111050774,0.00232024288499988,0.0114284303803717,0.0210056031397329,0.531707032852259,0.963002614764585,0.00925581324152685
"27","Fojnica",16296,8024,157,6623,407,1085,0.492390770741286,0.00963426607756505,0.406418753068238,0.0249754540991654,0.0665807560137457,0.587225536581586,0.903810573703885,0.00372306994258439
"28","Gacko",10788,3858,6661,29,84,156,0.35761957730812,0.617445309603263,0.00268817204301075,0.00778642936596218,0.014460511679644,0.490592566425651,0.913093067377663,0.00246468326832354
"29","Glamoč",12593,2257,9951,184,118,83,0.179226554435004,0.79020090526483,0.0146112919876122,0.00937028507901215,0.00659096323354244,0.343115638611645,0.630830954861261,0.00287706306989232
"30","Goražde",37573,26296,9843,80,789,565,0.699864264232294,0.261970031671679,0.00212918851302797,0.0209991217097384,0.0150373938732601,0.440890094385725,0.793272685767706,0.0085841253652874
"31","Gornji Vakuf",25181,14063,110,10706,158,144,0.558476629204559,0.0043683729796275,0.425161828362654,0.0062745720980104,0.00571859735514872,0.507250119042426,0.96683722595546,0.00575298381346451
"32","Gračanica",59134,42599,13558,132,1530,1315,0.720380829979369,0.229275881895356,0.00223221835154057,0.0258734399837657,0.0222376297899685,0.427315099905304,0.747054190503768,0.0135100649229741
"33","Gradačac",56581,33856,11221,8613,1436,1455,0.598363408211237,0.198317456389954,0.15222424488786,0.0253795443700182,0.0257153461409307,0.578153797173594,0.784993561043207,0.0129267931039131
"34","Bosanska Gradiška",59974,15851,35753,3417,3311,1642,0.264297862407043,0.596141661386601,0.0569746890319138,0.055207256477807,0.0273785306966352,0.567718219185095,0.806344888593831,0.0137019757447568
"35","Grude",16358,4,9,16210,5,130,0.000244528670986673,0.000550189509720015,0.990952439173493,0.000305660838733341,0.00794718180706688,0.017949649666114,0.0357907849028088,0.00373723478895407
"36","Hadžići",24200,15392,6362,746,841,859,0.63603305785124,0.262892561983471,0.0308264462809917,0.0347520661157025,0.035495867768595,0.522931517655898,0.805935040043216,0.005528859389454
"37","Han Pijesak",6348,2543,3674,7,68,56,0.40059861373661,0.578764965343415,0.00110270951480781,0.0107120352867045,0.00882167611846251,0.504358079925545,0.949935932146382,0.00145029749604355
