"municipality","dist_hrv","dist_srb","dist_mne","dist_yug","dist_other_country","dist_internal_border"
"Centar Sarajevo",97.7191691441961,63.2010897269453,55.166718392688,55.1667183926878,55.1667183926878,0
"Hadžići",64.3251452390864,78.1510041103444,59.5298767668397,59.5298767668397,59.5298767668397,5.25969254228408
"Ilidža",81.6050005523636,71.7082922434694,53.7500591198001,53.7500591198,53.7500591198,0
"Ilijaš",88.2531185209226,49.6610530771144,59.9273880955963,49.6610530771143,49.6610530771143,0
"Novi Grad Sarajevo",88.3650858442728,70.2018268322264,57.389387938638,57.3893879386378,57.3893879386378,0
"Novo Sarajevo",95.3819541685073,68.2148175011026,56.1848836170624,56.1848836170623,56.1848836170623,0
"Stari Grad Sarajevo",98.9142611129854,58.1581583945276,52.4148177843487,52.4148177843485,52.4148177843485,0
"Trnovo-FBIH",73.0604319589318,47.193548781975,29.4788299438555,29.4788299438554,29.4788299438554,0
"Vogošća",93.1076210678022,63.3227713668159,59.7681847818665,59.7681847818663,59.7681847818663,3.9099520075849
"Živinice",41.0854377517466,23.3061923589739,90.792790778824,23.3061923589739,23.3061923589739,0
"Čelić",12.8438930511039,22.1086481575701,119.494107505149,22.1086481575702,12.8438930511039,0
"Banovići",53.0540770752253,43.643902011386,90.7240723016158,43.643902011386,43.643902011386,10.9120951196468
"Doboj Istok",33.8396202940787,62.36503432457,141.100364423518,62.36503432457,33.8396202940787,0
"Gračanica",30.2555288240934,47.9372123356575,125.874443743578,47.9372123356575,30.2555288240934,0
"Gradačac",16.3594011524891,34.9707978133442,140.880876579758,34.9707978133442,16.3594011524891,0
"Kalesija",35.0714907199153,13.0835558915601,92.7165463116556,13.0835558915599,13.0835558915599,0
"Kladanj",57.3086036865002,28.2161579712945,70.2472019885535,28.2161579712948,28.2161579712948,0
"Lukavac",35.554085888867,44.8493043484715,106.896093330602,44.8493043484715,35.554085888867,0
"Sapna",29.1718113629455,8.98737485721566,98.153253970338,8.98737485721566,8.98737485721566,0
"Srebrenik",22.2560735281277,33.909534272292,121.524851668701,33.909534272292,22.2560735281277,0
"Teočak",25.5881128972389,10.0767669081932,113.422877020344,10.0767669081935,10.0767669081935,0
"Tuzla",28.6931239063079,20.5550179754225,106.638932316146,20.5550179754225,20.5550179754225,0
