"Municipality","Canton","Entity","Sarajevo District","Split by IEBL","Municipality Area","Municipality Perimeter","Population, 2013","Bosniak Population, 2013","Croat Population, 2013","Serb Population, 2013","Not Declared Population, 2013","Other Population, 2013","No Answer Population, 2013","Bosniak Population Percentage, 2013","Croat Population Percentage, 2013","Serb Population Percentage, 2013","Not Declared Population Percentage, 2013","Other Population Percentage, 2013","No Answer Population Percentage, 2013","Ethnic Fractionalization, 2013","Ethnic Polarization, 2013","Percent of Population, 2013","Proportion of Votes for Nationalist Parties, 1997","Proportion of Votes for Non-Nationalist Parties, 1997","Proportion of Votes for Independent Parties, 1997","Proportion of Votes for Other Parties, 1997","Proportion of Invalid Ballots, 1997","Number of Votes Cast In-District, 1997","Number of Votes Cast Out-District, 1997","Total Votes Cast, 1997","Proportion of Votes Cast In-District, 1997","Proportion of Votes Cast Out-District, 1997","Distance to Croatia","Distance to Serbia","Distance to Montenegro","Distance to Yugoslavia","Distance to Another Country","Distance to IEBL","Republika Srpska Municipality","Federation Municipality"
"Dobretići","Central Bosnia","Federacija Bosna i Hercegovina",0,1,70.3451244393595,51.3868679458721,1629,0,1626,1,1,0,1,0,0.998158379373849,0.000613873542050338,0.000613873542050338,0,0.000613873542050338,0.00367871916359452,0.00734389426899129,0.000458213283234598,NA,NA,NA,NA,NA,0,0,0,NA,NA,73.1655206174075,127.401149800812,146.881467255776,127.401149800812,73.1655206174075,0,0,0
"Domaljevac-Šamac","Posavina","Federacija Bosna i Hercegovina",0,1,55.0125619307405,39.8857912551927,4771,17,4634,92,12,13,3,0.00356319429888912,0.971284845944246,0.0192831691469294,0.00251519597568644,0.00272479564032698,0.00062879899392161,0.0562070649628482,0.109924569844119,0.00134201078840532,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,33.2042469111171,165.000167429425,33.2042469111171,0,0,0,0
"Donji Vakuf","Central Bosnia","Federacija Bosna i Hercegovina",0,0,333.560209913356,85.5697577360236,13985,13376,58,107,46,386,12,0.956453342867358,0.00414730067929925,0.00765105470146586,0.00328923846978906,0.0276010010725778,0.00085806220951019,0.0843478935562122,0.162656558084109,0.00393377088154441,0.855356705074773,0.144643294925227,0,0,0,6929,1229,8158,0.849350330963471,0.150649669036529,46.5447460130648,129.30184029557,133.293650891599,129.30184029557,46.5447460130648,0,0,0
"Donji Žabar","Doboj","Repuplika Srpska",0,1,37.827061939019,28.9072728206617,3808,5,1029,2758,5,9,2,0.00131302521008403,0.270220588235294,0.724264705882353,0.00131302521008403,0.00236344537815126,0.000525210084033613,0.402412159716828,0.79174682686656,0.00107113332262575,0.853064066852368,0.129526462395543,0,0.0174094707520891,0,1388,48,1436,0.966573816155989,0.0334261838440111,0.133985274158455,19.8911088495766,152.255785042749,19.8911088495766,0.133985274158455,0,0,0
"Drvar","Canton 10","Federacija Bosna i Hercegovina",0,1,530.394036429995,101.871599284553,7036,11,552,6420,26,24,3,0.00156338828880045,0.0784536668561683,0.912450255827175,0.00369528140989198,0.00341102899374645,0.000426378624218306,0.161251636592578,0.314363253082965,0.00197912133875913,0.358380274205548,0.618981825911361,0.0226378998830907,0,0,4402,5007,9409,0.467849930917207,0.532150069082793,7.72087280374831,191.775430048087,198.730426292627,191.775430048087,7.72087280374831,0,0,0
"Dubica","Banja Luka","Repuplika Srpska",0,0,514.997853523323,127.873963327265,21524,2168,273,18670,171,228,14,0.100724772347147,0.012683516075079,0.867403828284705,0.00794461995911541,0.0105928266121539,0.000650436721798922,0.237128499302767,0.436881687026751,0.006054378580934,0.660281690140845,0.246704225352113,0.00180281690140845,0.0912112676056338,0,14317,3433,17750,0.806591549295775,0.193408450704225,0,152.300575994107,231.255981698186,152.300575994107,0,23.658377175496,0,0
"Fojnica","Central Bosnia","Federacija Bosna i Hercegovina",0,0,311.399643984691,90.1130798042969,12356,7592,3664,48,46,236,770,0.614438329556491,0.296536095823891,0.00388475234703788,0.0037228876659113,0.0191000323729362,0.0623179022337326,0.530254599676522,0.845796651094134,0.00347555759830981,0.906945130993574,0.0736529906080079,0.00630252100840336,0.0130993573900148,0,6505,1587,8092,0.803880375679684,0.196119624320316,61.7904286989121,97.0450972876547,84.4671421783589,84.4671421783587,61.7904286989121,28.0525645217632,0,0
"Foča","Foča","Repuplika Srpska",0,1,1141.63689107046,171.718178074981,18288,1270,55,16739,32,176,16,0.0694444444444444,0.0030074365704287,0.915299650043745,0.00174978127734033,0.00962379702537183,0.000874890638670166,0.157298530453542,0.302207607940979,0.00514414028471106,0.984464031339031,0.00681089743589744,0,0.00872507122507122,0,13471,8993,22464,0.599670584045584,0.400329415954416,72.8398098035985,13.4566004815679,0,0,0,0,0,0
"Foča-Ustikolina","Bosnian Podrinje","Federacija Bosna i Hercegovina",0,1,159.860748104969,69.242727763947,1933,1762,0,145,3,23,0,0.911536471805484,0,0.0750129332643559,0.00155199172271081,0.0118986032074496,0,0.163330334974892,0.31540551226248,0.000543723926637494,NA,NA,NA,NA,NA,0,0,0,NA,NA,92.8620909506663,25.021682773032,7.58893016678311,7.58893016678192,7.58893016678192,0,0,0
"Gacko","Trebinje","Repuplika Srpska",0,0,729.332052107895,129.504824444653,8990,369,15,8556,3,41,6,0.0410456062291435,0.00166852057842047,0.951724137931034,0.000333704115684093,0.00456062291434928,0.000667408231368187,0.0925122834542398,0.181467539319145,0.0025287522506317,0.785692260252852,0.0658341042244835,0.0775516497070614,0.0709219858156028,0,5439,1047,6486,0.838575393154487,0.161424606845513,44.2197028096168,46.3437864669483,0,0,0,17.2892499952095,0,0
"Glamoč","Canton 10","Federacija Bosna i Hercegovina",0,0,1066.34984295944,146.670053029338,3860,1251,906,1679,11,13,0,0.324093264248705,0.234715025906736,0.434974093264249,0.00284974093264249,0.00336787564766839,0,0.650650487261403,0.880315835999075,0.00108576014320783,0.632558139534884,0.367441860465116,0,0,0,1850,2665,4515,0.409745293466224,0.590254706533776,12.3159332804618,164.803634838176,148.876487734021,148.876487734021,12.3159332804618,0,0,0
"Goražde","Bosnian Podrinje","Federacija Bosna i Hercegovina",0,1,209.477106095781,66.0859405606813,20897,19692,23,707,73,393,9,0.942336220510121,0.00110063645499354,0.0338326075513232,0.00349332440063167,0.0188065272527157,0.000430683830214863,0.110490516509136,0.2106872163382,0.00587801287891552,0.847641985859685,0.130448294615803,0,0.0219097195245125,0,10792,2079,12871,0.838474089037371,0.161525910962629,105.610549085023,19.5571625957552,7.26388075772993,7.26388075772887,7.26388075772887,0,0,0
