"Municipality","Canton","Entity","Sarajevo District","Split by IEBL","Municipality Area","Municipality Perimeter","Population, 2013","Bosniak Population, 2013","Croat Population, 2013","Serb Population, 2013","Not Declared Population, 2013","Other Population, 2013","No Answer Population, 2013","Bosniak Population Percentage, 2013","Croat Population Percentage, 2013","Serb Population Percentage, 2013","Not Declared Population Percentage, 2013","Other Population Percentage, 2013","No Answer Population Percentage, 2013","Ethnic Fractionalization, 2013","Ethnic Polarization, 2013","Percent of Population, 2013","Proportion of Votes for Nationalist Parties, 1997","Proportion of Votes for Non-Nationalist Parties, 1997","Proportion of Votes for Independent Parties, 1997","Proportion of Votes for Other Parties, 1997","Proportion of Invalid Ballots, 1997","Number of Votes Cast In-District, 1997","Number of Votes Cast Out-District, 1997","Total Votes Cast, 1997","Proportion of Votes Cast In-District, 1997","Proportion of Votes Cast Out-District, 1997","Distance to Croatia","Distance to Serbia","Distance to Montenegro","Distance to Yugoslavia","Distance to Another Country","Distance to IEBL","Republika Srpska Municipality","Federation Municipality"
"Srebrenik","Tuzla","Federacija Bosna i Hercegovina",0,0,253.849365182976,72.0245014866181,39678,35951,1968,394,184,1147,34,0.906068854276929,0.0495992741569636,0.00992993598467665,0.00463733051061041,0.0289077070416856,0.000856898029134533,0.17562264504883,0.321532467644708,0.0111608266741451,0.574706280371532,0.354431937011749,0,0.0538229685673864,0.0170388140493326,14779,1478,16257,0.909085317094175,0.0909146829058252,22.5573036470807,33.9189624500756,119.09217535818,33.9189624500756,22.5573036470807,0,0,0
"Stolac","Herzegovina-Neretva","Federacija Bosna i Hercegovina",0,1,224.570691176412,84.9693884915767,14502,5544,8486,279,18,72,103,0.382292097641705,0.585160667494139,0.0192387256930079,0.00124120810922631,0.00496483243690525,0.00710246862501724,0.510992981512962,0.931047414114034,0.00407919523233157,0.993244476903414,0.00109549023187877,0.00209968961110097,0.00356034325360599,0,6392,4562,10954,0.583531130180756,0.416468869819244,5.10262554735707,104.625688791545,41.9823766063724,41.9823766063724,5.10262554735707,0,0,0
"Teočak","Tuzla","Federacija Bosna i Hercegovina",0,1,32.1210876714079,25.7194483826636,7424,7398,5,7,0,12,2,0.996497844827586,0.000673491379310345,0.000942887931034483,0,0.00161637931034483,0.000269396551724138,0.00698801736911048,0.0139267617737541,0.0020882599231023,NA,NA,NA,NA,NA,0,0,0,NA,NA,27.1981853768923,8.92779298992192,110.234997873891,8.92779298992192,8.92779298992192,0,0,0
"Teslić","Banja Luka","Repuplika Srpska",0,0,840.776331993046,145.926780552505,38536,7184,1442,29041,351,467,51,0.186423084907619,0.0374195557400872,0.753607016815445,0.00910836620303093,0.0121185385094457,0.00132343782437202,0.395691101670098,0.679135744931874,0.0108395991913619,0.740938902312737,0.225302036589575,0.00331377286848464,0.0304452882292026,0,22696,6274,28970,0.783431135657577,0.216568864342423,35.1447744518662,88.3687856888073,130.132193505817,88.3687856888073,35.1447744518662,0,0,0
"Tešanj","Zenica-Doboj","Federacija Bosna i Hercegovina",0,0,128.866975359692,63.6974049742273,43063,40461,1462,226,128,750,36,0.939576898961986,0.0339502589229733,0.00524812484035018,0.00297238929010984,0.0174163434967373,0.000835984487843392,0.115702225052749,0.219160961629491,0.0121129764370359,0.865110504097343,0.134889495902657,0,0,0,17947,2188,20135,0.891333498882543,0.108666501117457,41.6115486891161,77.1075743418768,133.797849540519,77.1075743418768,41.6115486891161,0,0,0
"Tomislavgrad","Canton 10","Federacija Bosna i Hercegovina",0,0,989.537947497034,159.292208680936,31592,2467,29006,22,27,30,40,0.0780893897189162,0.918143833881995,0.000696378830083565,0.000854646746011649,0.000949607495568498,0.00126614332742466,0.150910227279941,0.298517030756057,0.00888635607363254,1,0,0,0,0,9957,2043,12000,0.82975,0.17025,0,132.494911421628,102.391936214257,102.391936214257,0,19.2943542579618,0,0
"Travnik","Central Bosnia","Federacija Bosna i Hercegovina",0,0,572.350942016614,122.684668960564,53482,35648,15102,640,327,1628,137,0.666542014135597,0.282375378632063,0.0119666429826858,0.00611420664896601,0.0304401480872069,0.00256160951348117,0.474872140408369,0.825808514289677,0.0150436849686634,0.914202881043699,0.0826261589103977,0,0.00317096004590342,0,27354,5759,33113,0.826080391387069,0.173919608612931,69.2219012671984,101.584769955129,118.177875650227,101.584769955129,69.2219012671984,0,0,0
"Trebinje","Trebinje","Repuplika Srpska",0,1,869.795538366685,172.934332284204,29198,995,295,27287,191,409,21,0.0340776765531886,0.0101034317419001,0.934550311665183,0.00654154394136585,0.0140078087540242,0.000719227344338653,0.125112819803084,0.23448796070023,0.00821295975683473,0.763842260860851,0.142406173272536,0.0108733777621887,0.0828781881044245,0,16754,3203,19957,0.839504935611565,0.160495064388435,0,94.0126108457326,0,0,0,0,0,0
"Trnovo-FBIH","Sarajevo","Federacija Bosna i Hercegovina",1,1,319.576933751821,105.641069160447,1502,1376,4,97,3,21,1,0.916111850865513,0.00266311584553928,0.0645805592543276,0.00199733688415446,0.0139813581890812,0.00066577896138482,0.156361424891091,0.298038377135873,0.000422490086812993,0.949685534591195,0,0,0.050314465408805,0,250,863,1113,0.224618149146451,0.775381850853549,72.6959797812208,47.1029593710532,29.0077350039888,29.0077350039886,29.0077350039886,0,0,0
"Trnovo-RS","Istočno Sarajevo","Repuplika Srpska",1,1,118.350508962556,72.3541010420011,2050,837,15,1178,9,10,1,0.408292682926829,0.00731707317073171,0.574634146341463,0.00439024390243902,0.0048780487804878,0.00048780487804878,0.502995835812017,0.956773065974086,0.000576634272947161,1,0,0,0,0,1935,1510,3445,0.561683599419448,0.438316400580552,80.0062258217089,53.8469288021567,36.1037909058536,36.1037909058536,36.1037909058536,0,0,0
"Tuzla","Tuzla","Federacija Bosna i Hercegovina",0,0,286.024347096657,81.3406721900592,110979,80774,15396,3378,2151,9143,137,0.727831391524523,0.138728948720028,0.0304381910091098,0.0193820452518044,0.082384955712342,0.00123446778219303,0.442924792310033,0.673001123946561,0.0312167292572697,0.36130506991446,0.614586495705127,0.00626819293890744,0.0149472293158562,0.00289301212564959,52889,3108,55997,0.944497026626426,0.0555029733735736,29.7066632531698,20.9888464876804,104.813280333874,20.9888464876804,20.9888464876804,0,0,0
"Ugljevik","Bijeljina","Repuplika Srpska",0,1,176.533758892376,70.9870226659298,15710,2186,42,13412,21,36,13,0.139147040101846,0.00267345639719924,0.853723742838956,0.00133672819859962,0.0022915340547422,0.000827498408656906,0.251779002050614,0.493180758982999,0.00441898752585361,0.818314803978935,0.158377218646382,0,0.023307977374683,0,8545,1709,10254,0.833333333333333,0.166666666666667,11.6222717076556,7.02699683764585,112.221317530567,7.02699683764613,7.02699683764613,0,0,0
"Usora","Zenica-Doboj","Federacija Bosna i Hercegovina",0,0,61.8969139024404,32.2269138606631,6603,374,6095,61,26,42,5,0.0566409207935787,0.923065273360594,0.00923822504922005,0.00393760411933969,0.00636074511585643,0.00075723156141148,0.144600425201061,0.274877795469917,0.00185732492891225,NA,NA,NA,NA,NA,0,0,0,NA,NA,38.5421368917682,78.405627869476,143.597829693473,78.405627869476,38.5421368917682,0,0,0
"Vareš","Zenica-Doboj","Federacija Bosna i Hercegovina",0,0,377.045160045404,110.673806358607,8892,5447,2820,189,91,343,2,0.612573099415205,0.317139001349528,0.0212550607287449,0.010233918128655,0.0385739991003149,0.000224921277552857,0.522132537012855,0.864147890093767,0.00250118631953471,0.863922921375045,0.110978946116332,0.00499583680266445,0.0201022957059593,0,6736,1671,8407,0.801237064351136,0.198762935648864,76.3148933820688,51.2588068072434,70.12107049374,51.2588068072432,51.2588068072432,10.7293625742612,0,0
"Velika Kladuša","Una-Sana","Federacija Bosna i Hercegovina",0,0,356.768859600161,105.721900300485,40419,32561,636,146,598,6407,71,0.805586481605186,0.0157351740518073,0.00361216259679854,0.0147950221430515,0.158514559984166,0.00175659961899107,0.325420933184503,0.591151142493635,0.0113692588674397,0.978131487889273,0.0124567474048443,0.0027681660899654,0.00664359861591696,0,18143,3532,21675,0.837047289504037,0.162952710495963,0,221.425871939868,282.596871461535,221.425871939868,0,12.4272553610148,0,0
"Visoko","Zenica-Doboj","Federacija Bosna i Hercegovina",0,0,241.125236012843,91.3676359341296,39938,36697,576,286,266,2062,51,0.918849216285242,0.014422354649707,0.00716109970454204,0.00666032350142721,0.0516300265411388,0.00127697931794281,0.152745181843415,0.285375767431416,0.0112339607770555,0.725610600674085,0.259245579204949,0,0.0151438201209659,0,20463,1196,21659,0.944780460778429,0.0552195392215707,82.4140048122072,73.6166523829002,69.2356011617429,69.2356011617427,69.2356011617427,12.4457334554473,0,0
"Vitez","Central Bosnia","Federacija Bosna i Hercegovina",0,0,155.490305158122,56.937606276966,34836,19513,14350,333,74,545,21,0.560138936732116,0.411930187162705,0.00955907681708577,0.00212423929268573,0.0156447353312665,0.000602824664140544,0.516216882977384,0.952530709501435,0.00979884464994502,0.971095428045413,0.0267566738263271,0,0.0021478981282602,0,14447,1848,16295,0.886590978827861,0.113409021172139,71.9422299277487,100.419420006828,107.676024033888,100.419420006828,71.9422299277487,19.3912372541897,0,0
"Višegrad","Foča","Repuplika Srpska",0,0,468.077825646795,120.489621467179,10668,1043,33,9338,20,54,180,0.0977690288713911,0.0030933633295838,0.875328083989501,0.00187476565429321,0.00506186726659168,0.0168728908886389,0.223918561782702,0.417864761115124,0.00300074849941479,0.989446067616719,0.00441237851052412,0,0.00614155387275654,0,10227,6544,16771,0.609802635501759,0.390197364498241,103.359012894257,0,16.1162211390938,0,0,13.0138307051348,0,0
"Vlasenica","Vlasenica","Repuplika Srpska",0,0,224.542047554544,74.4806238267181,11467,3763,31,7589,22,30,32,0.328159065143455,0.00270340978459928,0.661812156623354,0.00191854887939304,0.00261620301735415,0.00279061655184442,0.454290675996485,0.881998830719305,0.00322549522335858,0.947429849730098,0.0355979185916452,0,0.0169722316782571,0,12692,7871,20563,0.617225113067159,0.382774886932841,63.9010985727917,8.41093361852642,60.3576437385518,8.41093361852629,8.41093361852629,0,0,0
"Vogošća","Sarajevo","Federacija Bosna i Hercegovina",1,0,69.2608068617819,42.7787748911542,26343,24351,321,542,212,901,16,0.924382188816763,0.0121854002960938,0.0205747257335915,0.00804767870022397,0.0342026344759519,0.000607371977375394,0.143710811440664,0.265479189210366,0.00740989104987661,0.756760236930209,0.224568632500644,0,0.0186711305691476,0,6745,1021,7766,0.868529487509658,0.131470512490343,93.2596821618259,62.5495098171106,57.9516793096451,57.9516793096449,57.9516793096449,2.95060906613344,0,0
"Vukosavlje","Doboj","Repuplika Srpska",0,1,62.6835471988593,47.2411922706642,5407,2180,1516,1516,32,149,14,0.403181061586832,0.280377288699834,0.280377288699834,0.00591825411503606,0.0275568707231367,0.00258923617532828,0.679421072540582,0.843747904212294,0.00152090805552454,0.973578595317726,0,0,0.0264214046822742,0,1473,1517,2990,0.492642140468227,0.507357859531773,5.94516337392961,47.8703781568205,167.026220592866,47.8703781568205,5.94516337392961,0,0,0
"Zavidovići","Zenica-Doboj","Federacija Bosna i Hercegovina",0,0,596.056325575031,128.710585191574,35347,32735,573,573,162,1278,26,0.926104054092285,0.0162107109514244,0.0162107109514244,0.00458313293914618,0.036155826519931,0.000735564545788893,0.140476916740654,0.260706897758528,0.00994258129066502,0.817331844822774,0.182668155177226,0,0,0,19354,2144,21498,0.900269792538841,0.0997302074611592,58.2125932891465,49.2834198693867,93.121956961837,49.2834198693867,49.2834198693867,7.3192323180764,0,0
"Zenica","Zenica-Doboj","Federacija Bosna i Hercegovina",0,0,570.032549649833,119.371185564264,104793,92988,2409,2409,1305,5545,137,0.887349345853254,0.0229881766911912,0.0229881766911912,0.0124531218688271,0.0529138396648631,0.0013073392306738,0.208597562070409,0.370156258410656,0.0294767001780253,0.694316276979971,0.226121969343495,0.0624535572951769,0.0171081963813573,0,54125,3742,57867,0.935334473879759,0.0646655261202412,68.2983752681605,80.5789324738801,98.2460669281755,80.5789324738801,68.2983752681605,0,0,0
"Zvornik","Vlasenica","Repuplika Srpska",0,1,410.904989017142,135.389327586019,97329,19855,38579,38579,81,129,106,0.203998808166117,0.396377235972834,0.396377235972834,0.000832228832105539,0.00132540147335327,0.0010890895827554,0.644151024461862,0.891223624368758,0.0273771888544752,0.85894233901618,0.105766098382018,0.0021500705831252,0.0331414920186774,0,27280,18765,46045,0.592463894016723,0.407536105983277,30.3117604542341,0,76.2766918574707,0,0,0,0,0
"Čajniče","Foča","Repuplika Srpska",0,0,287.495493909928,92.1915459564762,4895,884,6,3972,3,25,5,0.180592441266599,0.00122574055158325,0.81144024514811,0.000612870275791624,0.00510725229826353,0.00102145045965271,0.30892209327439,0.603628469048773,0.00137689012979334,0.990093659942363,0.00990634005763689,0,0,0,3705,1847,5552,0.667327089337176,0.332672910662824,109.29195578957,0,0,0,0,3.73745748859361,0,0
"Čapljina","Herzegovina-Neretva","Federacija Bosna i Hercegovina",0,0,248.524717147348,97.6528544861961,26157,4541,20538,714,124,222,18,0.173605535803036,0.785181786902168,0.0272967083381122,0.00474060480942004,0.00848721183621975,0.000688152311044845,0.352510589517249,0.632653234814299,0.00735757203779458,0.966326471775356,0.0321743642968345,0,0.00149916392780949,0,13615,3728,17343,0.785042956812547,0.214957043187453,0,110.986300798558,52.7266890228289,52.7266890228289,0,2.19687736652316,0,0
"Čelinac","Banja Luka","Repuplika Srpska",0,0,365.726655087414,103.22236055314,15548,453,49,14874,39,124,9,0.0291355801389246,0.00315153074350399,0.956650373038333,0.00250836120401338,0.00797530228968356,0.000578852585541549,0.083891017196702,0.162305872746733,0.00437341935404022,0.64736215787386,0.291352637842126,0.032130107100357,0.0291550971836573,0,9228,856,10084,0.915113050376835,0.0848869496231654,32.910241731178,109.937779014608,166.544234735596,109.937779014608,32.910241731178,20.8903495341402,0,0
"Čelić","Tuzla","Federacija Bosna i Hercegovina",0,1,131.259843517454,60.5154007257211,10502,9341,843,192,36,80,10,0.889449628642163,0.0802704246810131,0.0182822319558179,0.00342791849171586,0.00761759664825747,0.000952199581032184,0.202031091936638,0.375132573471498,0.00295405518755663,0.853284671532847,0.146715328467153,0,0,0,4543,937,5480,0.829014598540146,0.170985401459854,13.3781635565159,22.2389782825207,115.752131008919,22.2389782825208,13.3781635565159,0,0,0
"Čitluk","Herzegovina-Neretva","Federacija Bosna i Hercegovina",0,0,184.493992802565,69.657951453427,18140,29,17900,18,21,86,86,0.0015986769570011,0.986769570011025,0.000992282249173098,0.00115766262403528,0.00474090407938258,0.00474090407938258,0.0262359827824504,0.0517290821334276,0.00510251010305439,1,0,0,0,0,7209,505,7714,0.934534612393052,0.0654653876069484,6.8310388920632,115.018761721925,60.7286386515921,60.7286386515921,6.8310388920632,7.99798693994135,0,0
"Šamac","Doboj","Repuplika Srpska",0,1,182.649488797384,70.5772953758867,17273,1265,2426,13256,151,152,23,0.0732356857523302,0.140450413940833,0.767440514097146,0.00874196723209633,0.00879986105482545,0.00133155792276964,0.38578964028637,0.636200330867493,0.00485863599834942,0.809572749963295,0.151299368668331,0,0.0391278813683747,0,10905,2717,13622,0.800543238878285,0.199456761121715,0.525341982096388,29.0575869205568,155.228685958279,29.0575869205568,0.525341982096388,0,0,0
"Šekovići","Vlasenica","Repuplika Srpska",0,0,246.557330706402,74.9817068178688,6761,107,8,6618,6,14,8,0.0158260612335453,0.0011832569146576,0.978849282650496,0.000887442685993196,0.00207069960065079,0.0011832569146576,0.0415957420952331,0.0820793460026562,0.00190176796068086,0.711762261014131,0.207605985037406,0.014546965918537,0.0660847880299252,0,4611,201,4812,0.958229426433915,0.0417705735660848,54.8570807984665,8.41921310647052,72.63774565408,8.41921310647052,8.41921310647052,0,0,0
"Šipovo","Banja Luka","Repuplika Srpska",0,0,535.470309051369,109.351176621268,10293,628,26,9576,24,34,5,0.0610123384824638,0.00252598853589818,0.930341008452346,0.00233168172544448,0.00330321577771301,0.000485767026134266,0.130720137982943,0.255242156771131,0.00289526662021714,0.437121305799431,0.52157784097935,0,0.0413008532212192,0,6445,1642,8087,0.796958080870533,0.203041919129467,36.1104425616577,146.310245580691,147.024475748227,146.310245580691,36.1104425616577,0,0,0
"Široki Brijeg","West Herzegovina","Federacija Bosna i Hercegovina",0,0,400.883596191727,102.673728447913,28929,6,28814,45,8,23,33,0.000207404334750596,0.996024750250614,0.00155553251062947,0.000276539113000795,0.000795049949877286,0.00114072384112828,0.00793022436106772,0.01579269637528,0.00813729408882362,1,0,0,0,0,11043,724,11767,0.938471997960398,0.0615280020396023,8.64442583840265,117.452724217881,71.7318953844453,71.7318953844453,8.64442583840265,18.1117916690568,0,0
"Žepče","Zenica-Doboj","Federacija Bosna i Hercegovina",0,0,194.036907227179,64.7253553770413,12919,11727,501,501,55,111,24,0.907732796656088,0.0387800913383389,0.0387800913383389,0.00425729545630467,0.00859199628454215,0.00185772892638749,0.172917980784978,0.316048204387837,0.00363392105961189,0.978519261062581,0.0157525418874409,0,0.00572819704997852,0,5491,1492,6983,0.786338250035801,0.213661749964199,65.9471236581376,77.4207493508695,111.537074027738,77.4207493508695,65.9471236581376,0,0,0
"Živinice","Tuzla","Federacija Bosna i Hercegovina",0,0,287.050082228934,89.4293618851753,57765,53089,2508,242,172,1716,38,0.919051328659223,0.0434172942092963,0.00418938803773912,0.00297758158054185,0.0297065697221501,0.000657837791049944,0.152550263853845,0.284239837560941,0.0162484286716062,0.579746195033517,0.375268771870652,0.0157679497449302,0.0107930351195244,0.0184240482313757,22225,1494,23719,0.93701252160715,0.0629874783928496,41.3634098278584,21.8033989885834,88.3703387661875,21.8033989885834,21.8033989885834,0.759213529053244,0,0
