"Municipality","Prewar Municipality","Municipality Area","Municipality Perimeter","Population, 1991","Muslim Population, 1991","Croat Population, 1991","Serb Population, 1991","Yugoslav Population, 1991","Other Population, 1991","Muslim Population Percentage, 1991","Croat Population Percentage, 1991","Serb Population Percentage, 1991","Yugoslav Population Percentage, 1991","Other Population Percentage, 1991","Ethnic Fractionalization, 1991","Ethnic Polarization, 1991","Percent of Population, 1991","Deaths per Population","Number of Deaths","Ethnic Dominance","Distance to Croatia","Distance to Serbia","Distance to Montenegro","Distance to Yugoslavia","Distance to Another Country","Distance to IEBL"
"Breza","Breza",65.0002448772612,37.3944082375218,17317,13079,851,2122,1001,264,0.755269388462205,0.0491424611653289,0.122538545937518,0.0578044695963504,0.0152451348385979,0.408563703280498,0.63380485888831,0.00395633297715599,0.0152451,263.9993967,"Yes",93.7896398785743,69.3387220897303,70.7302526565159,69.3387220897303,69.3387220897303,13.6910068617474
"Brod","Bosanski Brod",245.710390565321,79.7193862917552,34138,4088,13993,11389,3664,1004,0.119749253031812,0.409895131524987,0.333616497744449,0.107329076102877,0.0294100415958756,0.693961648859397,0.788238833010579,0.00779934718335457,0.0188646,643.9997148,"No",0,60.458367806546,172.923988007989,60.458367806546,0,0
"Brčko","Brčko",471.638202483051,111.343345883927,87627,38617,22252,18128,5731,2899,0.440697501911511,0.253939995663437,0.206876875848768,0.0654022162118982,0.0330834103643854,0.693130186723694,0.78293887418295,0.0200197256908961,0.0189211,1657.9992297,"No",0,2.01880620009917,131.896968879258,2.0188062000991,0,0
"Bugojno","Bugojno",360.282341445597,87.2005773390246,46889,19697,16031,8673,1561,927,0.420077203608522,0.341892554756979,0.184968755998209,0.0332913903047623,0.0197700953315277,0.670932009976824,0.834408343822115,0.0107125077649632,0.0170189,797.9992021,"No",44.1827287667677,125.575376911153,122.02394387656,122.02394387656,44.1827287667677,7.05263805798835
"Busovača","Busovača",157.151887154685,59.1330420453371,18879,8451,9093,623,510,202,0.447640235181948,0.481646273637375,0.0329996292176492,0.0270141426982361,0.0106997192647916,0.565701863510913,0.931234012404486,0.0043131957195662,0.0192807,364.0003353,"No",73.438128751261,92.8961639582762,95.7975821287272,92.8961639582762,73.438128751261,26.5197690711577
"Bužim","Bosanska Krupa",840.024431633415,153.765688759556,58320,43104,139,13841,708,528,0.739094650205761,0.00238340192043896,0.23732853223594,0.0121399176954733,0.00905349794238683,0.397179241792598,0.742848853695935,0.0133240941980561,0.022548,1314.99936,"No",0,205.780654658643,249.009920869855,205.780654658643,0,0
"Cazin","Cazin",310.582369389773,83.8082270664706,63409,61693,139,778,430,369,0.972937595609456,0.00219211783816178,0.0122695516409343,0.0067813717295652,0.0058193631818827,0.0531572357812274,0.103401237788514,0.0144867539266896,0.0144617,917.0019353,"Yes",0.549014526735777,229.819023433374,275.853401495909,229.819023433374,0.549014526735777,9.82906983320066
"Derventa","Derventa",533.36134036364,113.745912836257,56489,7086,22952,21938,3348,1165,0.125440351218821,0.406309192940218,0.388358795517711,0.0592681761050824,0.0206234842181664,0.66441695916228,0.830970164921795,0.0129057742996226,0.0167289,944.9988321,"No",0,69.1052830042277,159.272075382624,69.1052830042277,0,7.24967156706507
"Doboj","Doboj",700.965790155761,179.411197930041,102549,41164,13264,39820,5765,2536,0.401408107343806,0.129343045763489,0.388302177495636,0.0562170279573667,0.024729641439702,0.667591417425339,0.827304031516056,0.0234288843607074,0.0225843,2315.9973807,"No",9.85160030893012,58.238237186317,139.726875786283,58.238237186317,9.85160030893012,0
"Doboj Istok","Doboj",700.965790155761,179.411197930041,102549,41164,13264,39820,5765,2536,0.401408107343806,0.129343045763489,0.388302177495636,0.0562170279573667,0.024729641439702,0.667591417425339,0.827304031516056,0.0234288843607074,0.0225843,2315.9973807,"No",9.85160030893012,58.238237186317,139.726875786283,58.238237186317,9.85160030893012,0
"Doboj Jug","Doboj",700.965790155761,179.411197930041,102549,41164,13264,39820,5765,2536,0.401408107343806,0.129343045763489,0.388302177495636,0.0562170279573667,0.024729641439702,0.667591417425339,0.827304031516056,0.0234288843607074,0.0225843,2315.9973807,"No",9.85160030893012,58.238237186317,139.726875786283,58.238237186317,9.85160030893012,0
"Dobretići","Skender Vakuf",287.724225141255,105.321974389748,19418,1071,4770,13263,169,145,0.055155010814708,0.245648367494078,0.683026058296426,0.00870326501184468,0.00746729838294366,0.469958700650565,0.785603171546619,0.00443633849687677,0.0086003,167.0006254,"No",61.3335295153581,127.818494168139,146.726747299151,127.818494168139,61.3335295153581,0
"Domaljevac-Šamac","Bosanski Šamac",192.703975582829,93.8399428147754,32960,2233,14731,13628,1755,613,0.067748786407767,0.44693567961165,0.413470873786408,0.053246359223301,0.0185983009708738,0.621519365191111,0.87219993823053,0.00753021510233073,0.0188714,622.001344,"No",0,28.3925912505513,155.340100821355,28.3925912505513,0,0
"Donji Vakuf","Donji Vakuf",332.821968347177,91.5778824535191,24544,13509,682,9533,593,227,0.550399282920469,0.0277868318122555,0.388404498044329,0.0241606910039113,0.0092486962190352,0.544761189865865,0.91948360758064,0.00560745144027929,0.0114896,282.0007424,"No",46.2107922191538,130.023561960953,135.304027524578,130.023561960953,46.2107922191538,0
"Donji Žabar","Orašje",162.238242577243,69.3688113378836,28367,1893,21308,4235,626,305,0.0667324708287799,0.751154510522791,0.149293192794444,0.022067895794409,0.0107519300595763,0.408422625218795,0.656457833382744,0.00648087414465461,0.0127966,363.0011522,"Yes",0,15.6665195478124,153.075531897981,15.6665195478124,0,0
"Drvar","Drvar",944.369726706419,175.946909922573,17126,33,33,16608,384,68,0.00192689477986687,0.00192689477986687,0.969753591031181,0.0224220483475417,0.00397057106154385,0.0590520331484901,0.115835916891852,0.00391269611172683,0.0082915,142.000229,"Yes",0,188.947379380102,196.355353516385,188.947379380102,0,0
"Dubica","Bosanska Dubica",543.445283790377,122.640050704799,31606,6440,488,21728,1851,1099,0.203758779978485,0.0154401063089287,0.687464405492628,0.0585648294627602,0.034771878757198,0.480997731077208,0.741581566575809,0.00722087313483814,0.0087642,277.0013052,"No",0,150.661110563847,232.085636496837,150.661110563847,0,23.398376354081
"Fojnica","Fojnica",304.550316585878,82.6281246808666,16296,8024,6623,157,407,1085,0.492390770741286,0.406418753068238,0.00963426607756505,0.0249754540991654,0.0665807560137457,0.587225536581586,0.903810573703885,0.00372306994258439,0.0182867,298.0000632,"No",61.0523526795943,98.6095916165155,86.0497035089757,86.0497035089755,61.0523526795943,29.0596431347924
"Foča","Foča",1192.54583494142,178.924845958949,40513,20790,94,18315,463,851,0.513168612544122,0.00232024288499988,0.452077111050774,0.0114284303803717,0.0210056031397329,0.531707032852259,0.963002614764585,0.00925581324152685,0.069237,2804.998581,"No",75.7769388906497,13.0517873310174,0,0,0,0
"Foča-Ustikolina","Foča",1192.54583494142,178.924845958949,40513,20790,94,18315,463,851,0.513168612544122,0.00232024288499988,0.452077111050774,0.0114284303803717,0.0210056031397329,0.531707032852259,0.963002614764585,0.00925581324152685,0.069237,2804.998581,"No",75.7769388906497,13.0517873310174,0,0,0,0
"Gacko","Gacko",737.165072059161,120.500713520313,10788,3858,29,6661,84,156,0.35761957730812,0.00268817204301075,0.617445309603263,0.00778642936596218,0.014460511679644,0.490592566425651,0.913093067377663,0.00246468326832354,0.0337412,364.0000656,"No",44.4748673064484,45.2547568154745,0,0,0,17.2453615128123
"Glamoč","Glamoč",1059.59273552269,150.251656709248,12593,2257,184,9951,118,83,0.179226554435004,0.0146112919876122,0.79020090526483,0.00937028507901215,0.00659096323354244,0.343115638611645,0.630830954861261,0.00287706306989232,0.013579,171.000347,"Yes",12.8458239251246,164.783071437611,148.15076777427,148.150767774269,12.8458239251246,0
"Goražde","Goražde",395.86891682019,93.3257575861793,37573,26296,80,9843,789,565,0.699864264232294,0.00212918851302797,0.261970031671679,0.0209991217097384,0.0150373938732601,0.440890094385725,0.793272685767706,0.0085841253652874,0.0435685,1636.9992505,"No",106.693303690715,9.8499827117942,0.377649652200105,0.377649652198766,0.377649652198766,0
"Gornji Vakuf-Uskoplje","Gornji Vakuf",438.298722305351,95.525362913104,25181,14063,10706,110,158,144,0.558476629204559,0.425161828362654,0.0043683729796275,0.0062745720980104,0.00571859735514872,0.507250119042426,0.96683722595546,0.00575298381346451,0.0217624,547.9989944,"No",42.7432195984159,111.662088503682,96.5303805571575,96.5303805571573,42.7432195984159,22.1546954744718
"Gradačac","Gradačac",444.582286767581,102.87694563968,56581,33856,8613,11221,1436,1455,0.598363408211237,0.15222424488786,0.198317456389954,0.0253795443700182,0.0257153461409307,0.578153797173594,0.784993561043207,0.0129267931039131,0.0158887,898.9985347,"No",7.31354678377015,25.9318555306303,139.756326904752,25.9318555306303,7.31354678377015,0
"Gradiška","Bosanska Gradiška",800.902679028832,146.965978706098,59974,15851,3417,35753,3311,1642,0.264297862407043,0.0569746890319138,0.596141661386601,0.055207256477807,0.0273785306966352,0.567718219185095,0.806344888593831,0.0137019757447568,0.009971,598.000754,"No",0,121.055631772094,202.928202353462,121.055631772095,0,26.595663757215
"Gračanica","Gračanica",433.193496135842,98.9632676423306,59134,42599,132,13558,1530,1315,0.720380829979369,0.00223221835154057,0.229275881895356,0.0258734399837657,0.0222376297899685,0.427315099905304,0.747054190503768,0.0135100649229741,0.0082017,484.9993278,"No",28.4495127591022,44.8725637166345,124.418037444266,44.8725637166345,28.4495127591022,0
