"municipality","canton","entity","voters","KZCiD","HDZ","SDP","ZL.97","ZAVICAJ","DNZ","SDA","Independent.Candidates","SDC.Cazin","BOSS","HSS","BPS","SZS","HSP","HNZ","HKDP","ZAD","NS","SDS","SRS","SPRS","SSS","DSZBLiK","DS","SPO","NRS.Z","SDR","NDP","SOS","SPAS","SSKiP","SNS","SD","DPSRS","NRS","ZAB","SSJ","SPD","StrZA","SRS*","SOF","UL","OS","DPS"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sarajevo Novi Grad","Sarajevo","Federation",52356,23,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sarajevo Stari Grad","Sarajevo","Federation",24319,25,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skender Vakuf","Republika Srpska West","Republika Srpska",7782,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,18,4,10,2,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Sokolac","Republika Srpska East","Republika Srpska",11075,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Srbac","Republika Srpska West","Republika Srpska",11790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,5,15,2,3,0,0,0,0,0,0,2,0,15,0,0,0,0,1,0,0,0,2,0,0,0
"Srebrenica","Republika Srpska East","Republika Srpska",20430,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Srebrenik","Tuzla-Podrinje","Federation",16867,16,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stolac","Neretva","Federation",11051,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOTAL","","",NA,1590,624,209,63,36,20,16,12,2,20,21,15,8,15,1,4,19,18,965,530,293,22,13,9,8,2,2,2,1,45,40,39,23,12,9,8,7,6,3,3,2,1,1,1
"Teslić","Republika Srpska West","Republika Srpska",30295,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tešanj","Zenica-Doboj","Federation",20515,29,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tomislavgrad","Tomislavgrad","Federation",12147,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Travnik","Centralna Bosna","Federation",33908,18,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trebinje","Republika Srpska East","Republika Srpska",20658,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trnovo-FBIH","Sarajevo","Federation",1337,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trnovo-RS","Republika Srpska East","Republika Srpska",3500,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuzla","Tuzla-Podrinje","Federation",58959,8,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ugljevik","Republika Srpska East","Republika Srpska",10506,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vareš","Zenica-Doboj","Federation",8621,19,19,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Velika Kladuša","Una Sana","Federation",23189,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Visoko","Zenica-Doboj","Federation",22394,19,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitez","Centralna Bosna","Federation",16553,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Višegrad","Republika Srpska East","Republika Srpska",17151,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vlasenica","Republika Srpska East","Republika Srpska",20915,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vogošća","Sarajevo","Federation",8135,26,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vukosavlje","Republika Srpska West","Republika Srpska",3085,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zavidovići","Zenica-Doboj","Federation",22234,25,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zenica","Zenica-Doboj","Federation",61585,33,0,9,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zvornik","Republika Srpska East","Republika Srpska",46980,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Čajniče","Republika Srpska East","Republika Srpska",5675,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Čapljina","Neretva","Federation",17733,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Čelinac","Republika Srpska West","Republika Srpska",10393,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,12,6,15,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Čelić","Tuzla-Podrinje","Federation",5623,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Čitluk","Neretva","Federation",7853,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Šamac","Republika Srpska West","Republika Srpska",14124,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Šekovići","Republika Srpska East","Republika Srpska",4991,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Šipovo","Republika Srpska West","Republika Srpska",8286,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Široki Brijeg","Zapadna","Federation",11964,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Žepče","Zenica-Doboj","Federation",7109,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Živinice","Tuzla-Podrinje","Federation",24497,17,2,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
