"municipality","community","total","muslims","serbs","croats","yugoslavs","others","muslims_percent","serbs_percent","croats_percent","yugoslavs_percent","others_percent","population_percent_of_municipality","fractionalization","polarization"
"Banja Luka","Centar 1",8853,1313,4309,848,1825,558,0.148311306901615,0.486727662939117,0.0957867389585451,0.206144809669039,0.0630294815316842,0.045239457923676,0.685456440919011,0.744336441477963
"Banja Luka","Centar 2",6974,1179,3170,808,1463,354,0.169056495554918,0.454545454545455,0.115858904502438,0.209779179810726,0.050759965586464,0.035637634650369,0.704801166921851,0.742140085781496
"Banja Luka","Debeljaci",2041,23,300,1524,120,74,0.0112689857912788,0.146986771190593,0.746692797648212,0.0587947084762371,0.0362567368936796,0.0104296547636081,0.415946396279504,0.657227735311929
"Banja Luka","Donja Kola",2794,82,2646,5,41,20,0.0293486041517538,0.947029348604152,0.00178954903364352,0.0146743020758769,0.00715819613457409,0.0142775381722298,0.102004294917681,0.194439231226587
"Banja Luka","Dragočaj",4309,27,1140,2871,197,74,0.00626595497795312,0.264562543513576,0.666279879322349,0.0457182640983987,0.0171733580877234,0.0220192956278233,0.483653436887858,0.807788795555165
"Banja Luka","Goleši",2214,1,2180,4,18,11,0.0004516711833785,0.984643179765131,0.001806684733514,0.00813008130081301,0.0049683830171635,0.0113136970341148,0.0303835573736648,0.0599294526372606
"Banja Luka","Gornja Piskavica",1280,0,1266,0,9,5,0,0.9890625,0,0.00703125,0.00390625,0.00654089078756413,0.0216906738281252,0.0430553627014162
"Banja Luka","Gornji Šeher",4920,3115,1235,56,361,153,0.633130081300813,0.251016260162602,0.0113821138211382,0.0733739837398374,0.0310975609756098,0.0251415489646996,0.529656784982484,0.801231122912062
"Banja Luka","Hiseta 2",7864,2558,3301,354,1242,409,0.32527975584944,0.419760935910478,0.0450152594099695,0.15793489318413,0.0520091556459817,0.0401855977760971,0.68831908078225,0.796524691710982
"Banja Luka","Ivanjska",2593,0,1065,1409,80,39,0,0.410721172387196,0.543386039336676,0.0308522946394138,0.0150404936367142,0.0132504139157452,0.534861650273535,0.941502132197718
"Banja Luka","Karanovac",2193,354,1654,93,60,32,0.161422708618331,0.75421796625627,0.0424076607387141,0.027359781121751,0.0145918832649339,0.0112063855446314,0.402338078149,0.657291625294358
"Banja Luka","Kmečani",458,0,441,7,5,5,0,0.962882096069869,0.0152838427947598,0.0109170305676856,0.0109170305676856,0.00234041248492529,0.0723861101046892,0.139517406502746
"Banja Luka","Kola",2384,1,2365,0,12,6,0.000419463087248322,0.992030201342282,0,0.00503355704697987,0.00251677852348993,0.0121824090918382,0.0158442328048284,0.0314998910814902
"Banja Luka","Krmine",966,0,959,1,0,6,0,0.992753623188406,0.0010351966873706,0,0.0062111801242236,0.00493632851623981,0.0144005932555757,0.028724588106523
"Banja Luka","Krupa na Vrbasu",1858,1,1826,7,14,10,0.00053821313240043,0.982777179763186,0.00376749192680301,0.00753498385360603,0.00538213132400431,0.00949451178382356,0.0340487879486606,0.0669370701422496
"Banja Luka","Lauš",10910,587,8384,413,1008,518,0.0538038496791934,0.768469294225481,0.0378551787351054,0.0923923006416132,0.0474793767186068,0.0557508738221286,0.394336446603785,0.602968341495798
"Banja Luka","Ljubačevo",622,0,611,2,6,3,0,0.982315112540193,0.00321543408360129,0.00964630225080386,0.00482315112540193,0.00317846411708195,0.0349303667249099,0.0687620716742502
"Banja Luka","Mejdan",8020,1953,3427,576,1728,336,0.243516209476309,0.427306733167082,0.0718204488778055,0.215461346633416,0.0418952618453865,0.0409827688408315,0.704771829777178,0.769275015798791
"Banja Luka","Mejdan 1",6170,1905,2456,311,1203,295,0.308752025931929,0.39805510534846,0.0504051863857374,0.194975688816856,0.0478119935170178,0.0315291376244302,0.703382130820696,0.785859072235029
"Banja Luka","Mejdan 2",4900,1996,1692,225,839,148,0.40734693877551,0.34530612244898,0.0459183673469388,0.171224489795918,0.0302040816326531,0.0250393475461439,0.682493544356518,0.814389685930182
"Banja Luka","Mišin Han",1984,6,30,1897,38,13,0.0030241935483871,0.0151209677419355,0.956149193548387,0.0191532258064516,0.00655241935483871,0.0101383807207244,0.0851311500065036,0.162904470029552
"Banja Luka","Motike",1055,7,218,784,26,20,0.00663507109004739,0.206635071090047,0.743127962085308,0.0246445497630332,0.018957345971564,0.00539112482881262,0.40405202039487,0.70687449588463
"Banja Luka","Nova Varoš",5931,626,3082,769,1060,394,0.105547125273984,0.519642556061372,0.129657730568201,0.178721969313775,0.0664306187826673,0.0303078306726897,0.665665721753063,0.738634855277299
"Banja Luka","Paprikovac",3635,204,2300,542,427,162,0.056121045392022,0.63273727647868,0.149105914718019,0.117469050894085,0.044566712517194,0.0185751078224966,0.558476223632005,0.732008332768952
"Banja Luka","Petričevac",4815,96,2806,1368,404,141,0.0199376947040498,0.58276220145379,0.28411214953271,0.0839044652128764,0.0292834890965732,0.0246049915172823,0.571373509358195,0.828625632097993
