"municipality","count_of_events","best","high","low","deaths_per_100000","deaths_per_100000_high","deaths_per_100000_low"
"Kalesija",130,456,561,423,1090.67425673898,1341.81635533019,1011.74388289603
"Kalinovik",82,276,535,233,5913.8632954789,11463.4668952218,4992.50053567602
"Kiseljak",116,324,379,324,1340.83760966727,1568.44893229598,1340.83760966727
"Kladanj",23,57,57,54,354.698195395146,354.698195395146,336.029869321718
"Ključ",33,397,397,349,1061.75282822069,1061.75282822069,933.379690299805
"Konjic",118,383,526,381,872.874789188204,1198.77843110443,868.31669629427
"Kotor Varoš",1,0,7,0,0,18.9943830895721,0
"Kreševo",52,131,134,123,1946.2189867776,1990.78888723815,1827.36591888278
"Kupres",34,132,132,97,1372.42669993762,1372.42669993762,1008.52568101476
"Livno",24,43,43,43,105.911330049261,105.911330049261,105.911330049261
"Lopare",7,22,98,12,67.6153302394197,301.195561975597,36.8810892215017
"Lukavac",12,68,68,68,119.151918696338,119.151918696338,119.151918696338
"Maglaj",174,751,766,574,1730.89333456255,1765.46510555914,1322.9464368028
"Modriča",55,230,230,230,645.831578356218,645.831578356218,645.831578356218
"Mostar",464,2711,3040,2484,2140.91670088764,2400.73285529267,1961.65145149572
"Mrkonjić Grad",5,292,295,292,1065.8879357547,1076.83883920423,1065.8879357547
"Nevesinje",58,370,370,370,2560.9080841639,2560.9080841639,2560.9080841639
"Novi Travnik",21,58,62,58,188.845114446651,201.868915442972,188.845114446651
"Odžak",54,149,169,149,495.741282938515,562.283737024221,495.741282938515
"Olovo",47,151,151,151,890.540221750413,890.540221750413,890.540221750413
"Orašje",147,349,349,327,1230.30281665315,1230.30281665315,1152.74791130539
"Pale",2,18,18,18,110.058086212168,110.058086212168,110.058086212168
"Posušje",2,59,59,9,344.344578031983,344.344578031983,52.5271390218279
"Prijedor",95,3254,3258,1255,2891.33931030806,2894.89350737052,1115.12932834561
"Prozor",49,237,237,227,1199.39271255061,1199.39271255061,1148.78542510121
"Rogatica",194,1273,1316,1222,5792.15579215579,5987.80598780599,5560.10556010556
"Sanski Most",59,746,746,599,1237.00399621934,1237.00399621934,993.251198036712
"Sarajevo Novo Sarajevo",732,3887,4925,3537,4087.7493716413,5179.35828539579,3719.67314831369
"Sarajevo Vogošća",4,27,30,7,109.546800827687,121.718667586319,28.4010224368077
"Skender Vakuf",1,8,8,8,41.198887630034,41.198887630034,41.198887630034
"Sokolac",3,3,3,3,20.1572263656521,20.1572263656521,20.1572263656521
"Srebrenica",363,15317,15503,15278,41774.3958981072,42281.6778486882,41668.0303278241
"Srebrenik",1,3,3,3,7.33568075117371,7.33568075117371,7.33568075117371
"Stolac",17,53,53,53,283.710722124083,283.710722124083,283.710722124083
"Teslić",194,463,523,463,773.548969158285,873.792896047048,773.548969158285
"Tešanj",252,524,548,524,1080.85808580858,1130.36303630363,1080.85808580858
"Tomislavgrad",1,12,12,12,39.9880035989203,39.9880035989203,39.9880035989203
"Travnik",381,1855,2287,1825,2622.01930823922,3232.64590724695,2579.61468330813
"Trebinje",34,108,108,108,348.432055749129,348.432055749129,348.432055749129
"Trnovo",94,378,552,348,5406.95179516521,7895.8661135746,4977.82863681877
"Tuzla",184,851,1158,723,646.568098588339,879.818869759455,549.316962725463
"Ugljevik",5,11,211,11,42.9905811544925,824.637511236175,42.9905811544925
"Vareš",67,291,291,226,1310.6336981489,1310.6336981489,1017.88046660361
"Velika Kladuša",302,1128,1192,1101,2132.0027217056,2252.96741513571,2080.97074166478
"Visoko",8,10,11,10,21.6637781629116,23.8301559792028,21.6637781629116
"Vitez",287,1563,1620,1553,5610.39520442227,5814.99694892135,5574.50016152769
"Višegrad",29,135,135,85,636.822491626963,636.822491626963,400.962309542903
"Vlasenica",14,104,534,104,306.405043898415,1573.27205232455,306.405043898415
"Zavidovići",142,503,567,503,879.924427961654,991.883003288783,879.924427961654
"Zenica",90,243,249,237,166.990798325969,171.114027914264,162.867568737673
"Zvornik",217,1567,1726,1567,1927.54781966911,2123.13180392398,1927.54781966911
"Čajniče",4,63,63,63,703.439035283609,703.439035283609,703.439035283609
"Čapljina",35,83,83,83,297.683093034933,297.683093034933,297.683093034933
"Čelinac",1,3,3,3,16.0316357612355,16.0316357612355,16.0316357612355
"Žepče",105,439,543,437,1911.52137943046,2364.36471305408,1902.81285378385
"Živinice",1,1,1,1,1.8253837869412,1.8253837869412,1.8253837869412
NA,2,30,39,30,NA,NA,NA
"Bileća",0,0,0,0,0,0,0
"Sarajevo Centar",0,0,0,0,0,0,0
"Čitluk",0,0,0,0,0,0,0
"Gacko",0,0,0,0,0,0,0
"Grude",0,0,0,0,0,0,0
"Han Pijesak",0,0,0,0,0,0,0
"Laktaši",0,0,0,0,0,0,0
"Ljubinje",0,0,0,0,0,0,0
"Ljubuški",0,0,0,0,0,0,0
"Neum",0,0,0,0,0,0,0
"Sarajevo Novi Grad",0,0,0,0,0,0,0
"Prnjavor",0,0,0,0,0,0,0
"Rudo",0,0,0,0,0,0,0
"Šekovići",0,0,0,0,0,0,0
"Šipovo",0,0,0,0,0,0,0
"Široki Brijeg",0,0,0,0,0,0,0
"Srbac",0,0,0,0,0,0,0
"Sarajevo Stari Grad",0,0,0,0,0,0,0
